,link,enum,tags,Duration,Views,Posted On,Director,Writer,Studio,Release,Cast,Song1,Artist1,Song2,Artist2,Song3,Artist3,Song4,Artist4,Song5,Artist5,Song6,Artist6
1941,/role-models/trailer,1941,Universal Pictures|Comedy|Seann William Scott|Paul Rudd|Christopher Mintz-Plasse|Jane Lynch|Elizabeth Banks,2 min 25 sec,"356,782",5-Aug-08,David Wain,David Wain,Universal Pictures,7-Nov-08,Seann William Scott;Paul Rudd;Christopher Mintz-Plasse;Jane Lynch;Elizabeth Banks,How Far We've Come,Matchbox Twenty,,,,,,,,,,
1948,/australia/feature-trailer,1948,20th Century Fox|Action|Drama|Romance|Nicole Kidman|Hugh Jackman,2 min 3 sec,"222,364",7-Nov-08,Baz Luhrmann,Baz Luhrmann,20th Century Fox,26-Nov-08,Nicole Kidman;Hugh Jackman;David Wenham;Bryan Brown;Brandon Walters,The Only Moment We Were Alone,Explosions in the Sky,,,,,,,,,,
1949,/australia/teaser-trailer,1949,20th Century Fox|Action|Drama|Romance|Teaser|Nicole Kidman|Hugh Jackman,1 min 33 sec,"116,130",18-May-08,Baz Luhrmann,Baz Luhrmann,20th Century Fox,26-Nov-08,Nicole Kidman;Hugh Jackman;David Wenham;Bryan Brown;Brandon Walters,Kissing You,Des'ree,The Day Is Yours,Patrick Doyle,,,,,,,,
1956,/day-the-earth-stood-still/teaser-trailer,1956,20th Century Fox|Teaser|Remake|Keanu Reeves|Jennifer Connelly|Jon Hamm|Sci Fi|Thriller|Kathy Bates,1 min 52 sec,"659,640",3-Jul-08,Scott Derrickson,David Scarpa,20th Century Fox,12-Dec-08,Keanu Reeves;Jennifer Connelly;Kathy Bates;Jaden Smith;Jon Hamm,Imminent Impact,DistortionMX,,,,,,,,,,
1958,/seven-pounds/trailer,1958,Columbia Pictures|Drama|Will Smith|Rosario Dawson|Michael Ealy,1 min 29 sec,"490,962",29-Sep-08,Gabriele Muccino,Grant Nieporte,Columbia Pictures,19-Dec-08,Will Smith;Rosario Dawson;Michael Ealy;Barry Pepper;Woody Harrelson,My Name is Lincoln (The Island OST),Steve Jablonsky,New Hope,PostHaste Music Library,,,,,,,,
1964,/curious-case-benjamin-button/teaser-trailer,1964,Paramount Pictures|Drama|Fantasy|Book|Teaser|Brad Pitt|Cate Blanchett|Tilda Swinton,1 min 47 sec,"1,121,114",11-Jun-08,David Fincher,Eric Roth,Paramount Pictures,25-Dec-08,Brad Pitt;Cate Blanchett;Tilda Swinton;Taraji P. Henson;Jason Flemyng,Aquarium,Camille Saint-Saëns,,,,,,,,,,
1965,/doubt/trailer,1965,Miramax Films|Drama|Meryl Streep|Philip Seymour Hoffman|Amy Adams|Viola Davis,2 min 53 sec,"476,611",12-Sep-08,John Patrick Shanley,John Patrick Shanley,Miramax Films,12-Dec-08,Meryl Streep;Philip Seymour Hoffman;Amy Adams;Viola Davis;Lloyd Clay Brown,Horse Falls,J. Ralph,,,,,,,,,,
1966,/marley-me/trailer,1966,20th Century Fox|Comedy|Family|Teaser|Owen Wilson|Jennifer Aniston|Alan Arkin|Eric Dane,2 min 38 sec,"551,363",16-Oct-08,David Frankel,Scott Frank,20th Century Fox,25-Dec-08,Owen Wilson;Jennifer Aniston;Alan Arkin;Eric Dane,Bad to the Bone,George Thorogood and the Destroyers,"Peer Gynt Suite No.1, 'Morning'",Edvard Grieg,"The Good, The Bad and the Ugly",Ennio Morricone,Lonely,Timmy Curran,Magic Flute,PostHaste Music Library,,
1967,/marley-me/teaser-trailer,1967,20th Century Fox|Comedy|Family|Teaser|Owen Wilson|Jennifer Aniston,0 min 56 sec,"40,256",4-Jun-08,David Frankel,Scott Frank,20th Century Fox,25-Dec-08,Owen Wilson;Jennifer Aniston;Alan Arkin;Eric Dane,Chariots of Fire,Vangelis,,,,,,,,,,
1969,/the-spirit/feature-trailer,1969,Lionsgate|Bootleg|Comicbook|Action|Adventure|Gabriel Macht|Samuel L. Jackson|Scarlett Johansson|Eva Mendes,2 min 13 sec,"536,405",14-Jul-08,Frank Miller,Frank Miller,Lionsgate,25-Dec-08,Gabriel Macht;Samuel L. Jackson;Scarlett Johansson;Eva Mendes;Sarah Paulson,Choke,Hybrid,,,,,,,,,,
1970,/the-spirit/teaser-trailer,1970,Lionsgate|Teaser|Comicbook|Action|Adventure|Gabriel Macht,1 min 14 sec,"85,059",19-Apr-08,Frank Miller,Frank Miller,Lionsgate,25-Dec-08,Gabriel Macht;Samuel L. Jackson;Scarlett Johansson;Eva Mendes;Sarah Paulson,The Strength Of The Righteous (The Untouchables OST),Ennio Morricone,,,,,,,,,,
1973,/bride-wars/trailer,1973,20th Century Fox|Comedy|Romance|Anne Hathaway|Kate Hudson|Candice Bergen|Kristen Johnston,2 min 30 sec,"468,911",14-Oct-08,Gary Winick,June Diane Raphael,20th Century Fox,9-Jan-09,Anne Hathaway;Kate Hudson;Candice Bergen;Kristen Johnston;Bryan Greenberg,Fool for Love,Stefy,In the Hall of the Mountain King,Edvard Grieg,,,,,,,,
1978,/defiance/trailer,1978,Paramount Vantage|War|Historical|Drama|Book|Daniel Craig|Liev Schreiber|Jamie Bell|Alexa Davalos|Tomas Arana|Mark Feuerstein|George MacKay,2 min 3 sec,"169,154",18-Jan-08,Ed Zwick,Ed Zwick,Paramount Vantage,31-Dec-08,Daniel Craig;Liev Schreiber;Jamie Bell;Alexa Davalos;Tomas Arana,Terminus,Audio Machine,Ronin (The Last Samurai OST),Hans Zimmer,,,,,,,,
1981,/mall-cop/trailer,1981,Columbia Pictures|Comedy|Kevin James|Keir O'Donnell|Jayma Mays|Shirley Knight|Raini Rodriguez|Stephen Rannazzisi|Adam Ferrara,2 min 25 sec,"1,071,023",2-Oct-08,Steve Carr,Kevin James,Columbia Pictures,16-Jan-09,Kevin James;Jayma Mays;Shirley Knight;Raini Rodriguez;Stephen Rannazzisi,Livin' On A Prayer,Bon Jovi,,,,,,,,,,
1994,/the-wrestler/trailer,1994,Fox Searchlight|Drama|Mickey Rourke|Evan Rachel Wood|Marisa Tomei,2 min 27 sec,"1,084,160",20-Nov-08,Darren Aronofsky,Robert Siegel,Fox Searchlight,19-Dec-08,Mickey Rourke;Marisa Tomei;Ernest Miller;Wass Stevens;Evan Rachel Wood,One Trick Pony,Bruce Springsteen,,,,,,,,,,
2009,/watchmen/feature-trailer,2009,Warner Bros. Pictures|Comicbook|Patrick Wilson|Jackie Earle Haley|Matthew Goode|Billy Crudup|Jeffrey Dean Morgan|Malin Akerman|Carla Gugino,2 min 32 sec,"978,751",13-Nov-08,Zack Snyder,David Hayter,Warner Bros Pictures,6-Mar-09,Patrick Wilson;Jackie Earle Haley;Matthew Goode;Billy Crudup;Jeffrey Dean Morgan,Prophecies,Philip Glass,Take a Bow,Muse,,,,,,,,
2010,/watchmen/trailer,2010,Warner Bros. Pictures|Comicbook|Patrick Wilson|Jackie Earle Haley|Matthew Goode|Billy Crudup|Jeffrey Dean Morgan,2 min 20 sec,"3,306,128",17-Jul-08,Zack Snyder,David Hayter,Warner Bros Pictures,6-Mar-09,Patrick Wilson;Jackie Earle Haley;Matthew Goode;Billy Crudup;Jeffrey Dean Morgan,The Beginning is the End is the Beginning,Smashing Pumpkins,,,,,,,,,,
2013,/the-last-house-on-the-left/trailer,2013,Rogue Pictures|Suspense|Thriller|Tony Goldwyn|Monica Potter|Sara Paxton|Garret Dillahunt|Riki Lindhome|Martha MacIsaac,2 min 30 sec,"786,285",8-Jan-09,Dennis Iliadis,Carl Ellsworth,Rogue Pictures,13-Mar-09,Tony Goldwyn;Monica Potter;Sara Paxton;Garret Dillahunt;Martha MacIssac,Sweet Child O' Mine,Taken by Trees,,,,,,,,,,
2015,/i-love-you-man/trailer,2015,DreamWorks Pictures|Comedy|Paul Rudd|Jason Segel|Jaime Pressly|Rashida Jones|Andy Samberg|J.K. Simmons|Thomas Lennon|South by Southwest Film Festival,2 min 27 sec,"646,651",16-Dec-08,John Hamburg,John Hamburg,DreamWorks Pictures,20-Mar-09,Paul Rudd;Jason Segel;Jaime Pressly;Rashida Jones;Rob Huebel,Here Comes Your Man,Pixies,,,,,,,,,,
2022,/adventureland/trailer,2022,Miramax Films|Comedy|Jesse Eisenberg|Ryan Reynolds|Kristen Stewart|Bill Hader|Kristen Wiig|South by Southwest Film Festival,2 min 30 sec,"499,810",21-Nov-08,Greg Mottola,Greg Mottola,Miramax Films,3-Apr-09,Jesse Eisenberg;Ryan Reynolds;Kristen Stewart;Martin Starr;Paige Howard,Blister in the Sun,Violent Femmes,,,,,,,,,,
2023,/fast-and-furious-2009/trailer,2023,Universal Pictures|Franchise/Epic/Trilogy|Action|Thriller|Vin Diesel|Paul Walker|Michelle Rodriguez|Jordana Brewster,2 min 11 sec,"2,813,976",25-Aug-08,Justin Lin,Chris Morgan,Universal Pictures,3-Apr-09,Vin Diesel;Paul Walker;Michelle Rodriguez;Jordana Brewster;John Ortiz,We Are Rockstars,"Does It Offend You, Yeah?",,,,,,,,,,
2025,/dragonball/teaser-trailer,2025,20th Century Fox|Action|Adventure|Fantasy|Teaser|Jamie Chung|Emmy Rossum,1 min 5 sec,"6,907,028",3-Oct-08,James Wong,James Wong,20th Century Fox,10-Apr-09,Justin Chatwin;James Marsters;Jamie Chung;Emmy Rossum;Eriko Tamura,(Unknown),Immediate Music,,,,,,,,,,
2029,/crank-high-voltage/trailer,2029,Lionsgate|Jason Statham|Amy Smart|Dwight Yoakam|Efren Ramirez|Bai Ling|Action,2 min 30 sec,"2,059,049",15-Jan-09,Mark Neveldine,Mark Neveldine,Lionsgate,17-Apr-09,Jason Statham;Amy Smart;Dwight Yoakam;Efren Ramirez;Clifton Collins Jr.,Given Up,Linkin Park,,,,,,,,,,
2030,/state-of-play/trailer,2030,Universal Pictures|Thriller|Russell Crowe|Ben Affleck|Rachel McAdams|Robin Wright Penn|Harry J. Lennix|Jeff Daniels|Maria Thayer,2 min 28 sec,"632,046",23-Dec-08,Kevin Macdonald,Matthew Michael Carnahan,Universal Pictures,17-Apr-09,Russell Crowe;Ben Affleck;Rachel McAdams;Robin Wright Penn;Jason Bateman,Dead Reckoning,Clint Mansell,,,,,,,,,,
2032,/fighting/trailer,2032,Rogue Pictures|Drama|Channing Tatum|Terrence Howard|Brian J. White|Luis Guzman|Zulay Henao,2 min 32 sec,"523,908",8-Jan-09,Dito Montiel,Dito Montiel,Rogue Pictures,24-Apr-09,Channing Tatum;Terrence Howard;Brian J. White;Luis Guzman;Zulay Henao,Remember the Name,Fort Minor,,,,,,,,,,
2037,/battle-for-terra/trailer,2037,Lionsgate|Adventure|Animation|Evan Rachel Wood|Brian Cox|Luke Wilson|David Cross|Justin Long|Amanda Peet|Dennis Quaid|Chris Evans|James Garner|Rosanna Arquette|Chad Allen,2 min 18 sec,"355,991",18-Feb-09,Aristomenis Tsirbas,Evan Spiliotopoulos,Lionsgate,1-May-09,Evan Rachel Wood;Brian Cox;Luke Wilson;David Cross;Justin Long,Darkness Falls,PostHaste Music Library,,,,,,,,,,
2038,/ghosts-of-girlfriends-past/trailer,2038,New Line Cinema|Comedy|Matthew McConaughey|Jennifer Garner|Lacey Chabert|Michael Douglas|Emma Stone|Anne Archer|Robert Forster,2 min 29 sec,"925,729",29-Jan-09,Mark S. Waters,Scott Moore,New Line Cinema,1-May-09,Matthew McConaughey;Jennifer Garner;Lacey Chabert;Michael Douglas;Emma Stone,Superstition,Stevie Wonder,Pictures of You,The Last Goodnight,,,,,,,,
2040,/xmen-origins-wolverine/trailer,2040,20th Century Fox|Action|Fantasy|Drama|Thriller|Comicbook|Hugh Jackman|Liev Schreiber|Danny Huston|Taylor Kitsch,2 min 24 sec,"2,245,113",15-Dec-08,Gavin Hood,David Benioff,20th Century Fox,1-May-09,Hugh Jackman;Liev Schreiber;Ryan Reynolds;Taylor Kitsch;Will.i.am,Sunshine (OST),John Murphy,,,,,,,,,,
2042,/star-trek-xi/trailer,2042,Paramount Pictures|Sci Fi|Franchise/Epic/Trilogy|John Cho|Ben Cross|Bruce Greenwood|Simon Pegg|Chris Pine|Zachary Quinto|Winona Ryder|Zoë Saldaña|Karl Urban|Anton Yelchin|Eric Bana|Leonard Nimoy|Marlene Forte|Jimmy Bennett,2 min 11 sec,"1,306,518",17-Nov-08,J.J. Abrams,Alex Kurtzman,Paramount Pictures,8-May-09,Zachary Quinto;Leonard Nimoy;Eric Bana;Chris Pine;Karl Urban,Down With The Enterprise,Two Steps From Hell,,,,,,,,,,
2047,/terminator-salvation/trailer,2047,Warner Bros. Pictures|Franchise/Epic/Trilogy|Action|Adventure|Sci Fi|Thriller|Sam Worthington|Anton Yelchin|Christian Bale|Common|Bryce Dallas Howard|Moon Bloodgood,2 min 8 sec,"1,090,151",9-Dec-08,McG,John Brancato,Warner Bros Pictures,21-May-09,Christian Bale;Sam Worthington;Anton Yelchin;Bryce Dallas Howard;Moon Bloodgood,Clash of Titans,Immediate Music,,,,,,,,,,
2049,/dance-flick/trailer,2049,Paramount Pictures|Comedy|Chelsea Makela|Keenen Ivory Wayans|Shawn Wayans|Marlon Wayans|Brennan Hillard|Kim Wayans|Damon Wayans Jr,2 min 28 sec,"640,785",14-Nov-08,Keenen Ivory Wayans,Keenen Ivory Wayans,Paramount Pictures,22-May-09,Shoshana Bush;Essence Atkins;Chelsea Makela;Keenen Ivory Wayans;Shawn Wayans,"Boom, Shake, Drop",Pitbull,Church,T-Pain,Maniac,Michael Sembello,Get Up,Ciara,Low,Flo Rida,,
2051,/night-at-the-museum-2/teaser-trailer,2051,20th Century Fox|Franchise/Epic/Trilogy|Comedy|Family|Fantasy|Teaser|Ben Stiller|Jonah Hill|Amy Adams|Hank Azaria|Robin Williams|Owen Wilson|Bill Hader|Clint Howard,2 min 31 sec,"453,767",19-Dec-08,Shawn Levy,Robert Ben Garant,20th Century Fox,22-May-09,Ben Stiller;Amy Adams;Hank Azaria;Robin Williams;Ricky Gervais,In the Hall of the Mountain King,Edvard Grieg,,,,,,,,,,
2061,/the-hangover/teaser-trailer,2061,Warner Bros. Pictures|Comedy|Teaser|Bradley Cooper|Ed Helms|Zach Galifianakis|Sasha Barrese,1 min 4 sec,"160,222",5-Mar-09,Todd Phillips,Jon Lucas,Warner Bros Pictures,5-Jun-09,Bradley Cooper;Ed Helms;Zach Galifianakis;Heather Graham;Justin Bartha,In the Air Tonight,Phil Collins,,,,,,,,,,
2062,/imagine-that/trailer,2062,Paramount Pictures|Comedy|Fantasy|Eddie Murphy|Yara Shahidi|Ronny Cox|Thomas Haden Church|Nicole Ari Parker,2 min 28 sec,"295,613",15-Jan-09,Karey Kirkpatrick,Ed Solomon,Paramount Pictures,12-Jun-09,Eddie Murphy;Thomas Haden Church;Nicole Ari Parker;DeRay Davis;Ronny Cox,Brazil,Ary Barroso,Everlasting Love,Sandra,,,,,,,,
2067,/the-proposal/trailer,2067,Touchstone Pictures|Comedy|Romance|Sandra Bullock|Ryan Reynolds|Malin Akerman|Mary Steenburgen|Craig T. Nelson|Aasif Mandvi,2 min 27 sec,"1,152,083",9-Dec-08,Anne Fletcher,Peter Chiarelli,Touchstone Pictures,12-Jun-09,Sandra Bullock;Ryan Reynolds;Malin Akerman;Mary Steenburgen;Craig T. Nelson,Hot n Cold,Katy Perry,Takin' Care of Business,Bachman-Turner Overdrive,,,,,,,,
2075,/public-enemies/trailer,2075,Universal Pictures|Action|Thriller|Johnny Depp|Christian Bale|Marion Cotillard|Giovanni Ribisi|Billy Crudup|Stephen Dorff|Rory Cochrane|Stephen Lang|David Wenham|Stephen Graham|Channing Tatum|Jason Clarke,2 min 29 sec,"2,167,804",4-Mar-09,Michael Mann,Ronan Bennett,Universal Pictures,1-Jul-09,Johnny Depp;Christian Bale;Marion Cotillard;Giovanni Ribisi;Billy Crudup,Ten Million Slaves,Otis Taylor,,,,,,,,,,
2092,/500-days-of-summer/trailer,2092,Fox Searchlight|Comedy|Joseph Gordon-Levitt|Zooey Deschanel|Clark Gregg|Minka Kelly|Rachel Boston|Matthew Gray Gubler|Chloë Grace Moretz,2 min 26 sec,"807,078",3-Mar-09,Marc Webb,Scott Neustadter,Fox Searchlight,17-Jul-09,Zooey Deschanel;Joseph Gordon-Levitt;Clark Gregg;Minka Kelly;Rachel Boston,Us,Regina Spektor,There Is a Light That Never Goes Out,The Smiths,Black Tambourine,Beck,You Make My Dreams,Hall & Oates,Vagabond,Wolfmother,,
2093,/500-days-of-summer/teaser-trailer,2093,Fox Searchlight|Comedy|Joseph Gordon-Levitt|Zooey Deschanel|Clark Gregg|Minka Kelly|Rachel Boston|Matthew Gray Gubler|Chloë Grace Moretz,1 min 37 sec,"634,686",17-Jan-09,Marc Webb,Scott Neustadter,Fox Searchlight,17-Jul-09,Zooey Deschanel;Joseph Gordon-Levitt;Clark Gregg;Minka Kelly;Rachel Boston,Sweet Disposition,The Temper Trap,,,,,,,,,,
2102,/the-time-travelers-wife/trailer,2102,New Line Cinema|Drama|Romance|Book|Rachel McAdams|Eric Bana,2 min 26 sec,"879,840",12-Jun-09,Robert Schwentke,Bruce Joel Rubin,New Line Cinema,14-Aug-09,Rachel McAdams;Eric Bana;Arliss Howard;Ron Livingston,Broken,Lifehouse,,,,,,,,,,
2105,/post-grad/trailer,2105,20th Century Fox|Comedy|Alexis Bledel|Zach Gilford|Rodrigo Santoro|Jane Lynch|Fred Armison|Bobby Coleman|Andrew Daly|Kirk Fox|Catherine Reitman|Craig Robinson|Carol Burnett|Michael Keaton,2 min 27 sec,"325,959",27-Apr-09,Vicky Jenson,Kelley Fremon,20th Century Fox,21-Aug-09,Alexis Bledel;Zach Gilford;Rodrigo Santoro;Jane Lynch;Fred Armisen,Show Me What I'm Looking For,Carolina Liar,,,,,,,,,,
2107,/adam/trailer,2107,Fox Searchlight|Comedy|Romance|Hugh Dancy|Rose Byrne|Peter Gallagher|Amy Irving|Frankie Faison,2 min 30 sec,"371,059",27-Apr-09,Max Mayer,Max Mayer,Fox Searchlight,29-Jul-09,Hugh Dancy;Rose Byrne;Peter Gallagher;Amy Irving;Frankie Faison,When You Love Somebody,Fruit Bats,,,,,,,,,,
2114,/all-about-steve/trailer,2114,20th Century Fox|Comedy|Sandra Bullock|Thomas Haden Church|Bradley Cooper|Sara Sanderson|Katy Mixon|Ken Jeong|M.C. Gainey|Keith David,2 min 31 sec,"521,279",8-Jan-09,Phil Traill,Kim Barker,20th Century Fox,4-Sep-09,Sandra Bullock;Thomas Haden Church;Bradley Cooper;Sara Sanderson;Katy Mixon,Love Song,Sara Bareilles,,,,,,,,,,
2116,/extract/teaser-trailer,2116,Miramax Films|Comedy|Teaser|Jason Bateman|Mila Kunis|Ben Affleck|Kristen Wiig|J.K. Simmons|Clifton Collins Jr.|Beth Grant,1 min 44 sec,"945,176",8-Apr-09,Mike Judge,Mike Judge,Miramax Films,4-Sep-09,Jason Bateman;Mila Kunis;Ben Affleck;Kristen Wiig;J.K. Simmons,Free Ride,Edgar Winter Group,,,,,,,,,,
2117,/gamer/trailer,2117,Lionsgate|Foreign / Foreign Language|Action|Drama|Thriller|Gerard Butler|Michael C. Hall|Milo Ventimiglia|Alison Lohman|John Lequizamo|Efren Ramirez|Terry Crews|Kyra Sedgwick|Zoe Bell|Ludacris,2 min 23 sec,"1,004,890",10-May-09,Mark Neveldine,Mark Neveldine,Lionsgate,4-Sep-09,Gerard Butler;Michael C. Hall;Alison Lohman;Amber Valletta;Logan Lerman,Sweet Dreams (Are Made Of This),Marilyn Manson,,,,,,,,,,
2119,/9-feature/feature-trailer,2119,Focus Features|Action|CG Animation|Remake|Elijah Wood|Jennifer Connelly|Christopher Plummer,2 min 30 sec,"459,088",19-May-09,Shane Acker,Shane Acker,Focus Features,9-Sep-09,Christopher Plummer;Martin Landau;Wendy Reid;John C. Reilly;Crispin Glover,Welcome Home,Coheed and Cambria,,,,,,,,,,
2120,/9-feature/trailer,2120,Focus Features|Action|CG Animation|Teaser|Remake,2 min 4 sec,"1,658,533",23-Dec-08,Shane Acker,Shane Acker,Focus Features,9-Sep-09,Christopher Plummer;Martin Landau;Wendy Reid;John C. Reilly;Crispin Glover,Welcome Home,Coheed and Cambria,The Captain,The Knife,,,,,,,,
2126,/cloudy-wuth-a-chance-of-meatballs/feature-trailer,2126,Columbia Pictures|CG Animation|Book|Family|Comedy|Bill Hader|Anna Faris|James Caan|Bruce Campbell|Andy Samberg|Mr T.|Tracy Morgan,2 min 28 sec,"284,403",1-Jul-09,Chris Miller,Chris Miller,Columbia Pictures,18-Sep-09,Bill Hader;Anna Faris;James Caan;Bruce Campbell;Andy Samberg,Tristan,Two Steps From Hell,Any Way You Want It,Journey,,,,,,,,
2139,/whip-it/trailer,2139,Fox Searchlight|Action|Comedy|Ellen Page|Marcia Gay Harden|Kristen Wiig|Juliette Lewis|Daniel Stern|Eve,2 min 20 sec,"669,035",15-Jul-09,Drew Barrymore,Shauna Cross,Fox Searchlight,2-Oct-09,Ellen Page;Marcia Gay Harden;Kristen Wiig;Juliette Lewis;Eve,Pork & Beans,Weezer,,,,,,,,,,
2149,/where-the-wild-things-are/feature-trailer,2149,Warner Bros. Pictures|Adventure|Drama|Family|Fantasy|Catherine Keener|Max Records|Mark Ruffalo|Lauren Ambrose|James Gandolfini|Catherine O'Hara|Forest Whitaker|Book,2 min 29 sec,"778,064",6-Aug-09,Spike Jonze,Spike Jonze,Warner Bros Pictures,16-Oct-09,Catherine Keener;Max Records;Mark Ruffalo;Lauren Ambrose;James Gandolfini,Wake Up,Arcade Fire,,,,,,,,,,
2150,/where-the-wild-things-are/trailer,2150,Warner Bros. Pictures|Adventure|Drama|Family|Fantasy|Catherine Keener|Max Records|Mark Ruffalo|Lauren Ambrose|James Gandolfini|Catherine O'Hara|Forest Whitaker|Book,2 min 1 sec,"6,253,480",25-Mar-09,Spike Jonze,Spike Jonze,Warner Bros Pictures,16-Oct-09,Catherine Keener;Max Records;Mark Ruffalo;Lauren Ambrose;James Gandolfini,Wake Up,Arcade Fire,,,,,,,,,,
2153,/astro-boy/teaser-trailer,2153,Summit Entertainment|Adventure|CG Animation|Television|Teaser,0 min 49 sec,"649,361",20-Nov-08,David Bowers,Timothy Harris,Summit Entertainment,23-Oct-09,Freddie Highmore;Nicolas Cage;Kristen Bell;Donald Sutherland;Nathan Lane,Epicon,Immediate Music,,,,,,,,,,
2154,/cirque-du-freak-vampires-assistant/trailer,2154,Universal Pictures|Action|Drama|Family|Adventure|Fantasy|Horror|Thriller|John C. Reilly|Ken Watanabe|Josh Hutcherson|Chris Massoglia|Patrick Fugit|Ray Stevenson|Michael Cerveris|Frankie Faison|Jane Krakowski|Orlando Jones|Kristen Schaal|Salma Hayek,2 min 23 sec,"1,153,143",5-Aug-09,Paul Weitz,Brian Helgeland,Universal Pictures,23-Oct-09,John C. Reilly;Ken Watanabe;Josh Hutcherson;Chris Massoglia;Patrick Fugit,Asleep from Day,The Chemical Brothers,,,,,,,,,,
2165,/2012/trailer,2165,Columbia Pictures|Action|Adventure|John Cusack|Amanda Peet|Chiwetel Ejiofor|Danny Glover|Thandie Newton|Oliver Platt|Thomas McCarthy|Woody Harrelson|Chin Han|Morgan Lily|Beatrice Rosen,2 min 52 sec,"4,591,187",18-Jun-09,Roland Emmerich,Roland Emmerich,Columbia Pictures,13-Nov-09,John Cusack;Amanda Peet;Chiwetel Ejiofor;Danny Glover;Thandie Newton,Master of Shadows,Two Steps From Hell,,,,,,,,,,
2172,/the-blind-side/trailer,2172,Warner Bros. Pictures|Book|Drama|Sport|Sandra Bullock|Kathy Bates|Tim McGraw|Ray McKinnon|Lily Collins|Jae Head|Quinton Aaron,2 min 31 sec,"1,345,219",3-Aug-09,John Lee Hancock,John Lee Hancock,Warner Bros Pictures,20-Nov-09,Sandra Bullock;Quinton Aaron;Kathy Bates;Tim McGraw;Ray McKinnon,How to Save a Life,The Fray,,,,,,,,,,
2173,/ninja-assassin/trailer,2173,Warner Bros. Pictures|Action|Adventure|Rain|Naomie Harris|Ben Miles|Sho Kosugi|Rick Yune|Comic Con,2 min 3 sec,"2,019,449",24-Jul-09,James McTeigue,Matthew Sand,Warner Bros Pictures,25-Nov-09,Rain;Naomie Harris;Ben Miles;Sho Kosugi;Rick Yune,Bring the Pain,Brand X,,,,,,,,,,
2179,/everybodys-fine/trailer,2179,Miramax Films|Comedy|Drama|Adventure|Robert De Niro|Drew Barrymore|Kate Beckinsale|Sam Rockwell,2 min 33 sec,"326,161",17-Sep-09,Kirk Jones,Kirk Jones,Miramax Films,4-Dec-09,Robert De Niro;Drew Barrymore;Kate Beckinsale;Sam Rockwell;Katherine Moennig,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,,,,,,,,,,
2182,/boondock-saints-ii/trailer,2182,Sony Pictures|Action|Crime|Thriller|Norman Reedus|Sean Patrick Flanery|Clifton Collins Jr.|Julie Benz|Judd Nelson|Peter Fonda|Billy Connolly,1 min 47 sec,"524,572",3-Oct-09,Troy Duffy,Troy Duffy,Sony Pictures,30-Oct-09,Norman Reedus;Sean Patrick Flanery;Clifton Collins Jr.;Julie Benz;Judd Nelson,The Saints Are Coming,The Skids,,,,,,,,,,
2186,/avatar/trailer-b,2186,20th Century Fox|Action|Adventure|Sci Fi|Sigourney Weaver|Stephen Lang|Zoë Saldaña|Sam Worthington|Michelle Rodriguez|Giovanni Ribisi|Joel David Moore|CCH Pounder|Peter Mensah|Laz Alonso|Wes Studi|Matt Gerald,3 min 25 sec,"2,499,230",23-Oct-09,James Cameron,James Cameron,20th Century Fox,18-Dec-09,Sam Worthington;Zoe Saldana;Sigourney Weaver;Michelle Rodriguez;Giovanni Ribisi,My Name is Lincoln (The Island OST),Steve Jablonsky,Guardians at the Gate,Audiomachine,Akkadian Empire,Audiomachine,,,,,,
2200,/sherlock-holmes/trailer,2200,"Warner Bros. Pictures|Crime|Drama|Thriller|Book|Robert Downey, Jr.|Jude Law|Rachel McAdams|Mark Strong|Kelly Reilly",2 min 22 sec,"4,577,576",18-May-09,Guy Ritchie,Guy Ritchie,Warner Bros Pictures,25-Dec-09,Robert Downey Jr.;Jude Law;Rachel McAdams;Mark Strong;Kelly Reilly,Unstoppable,E.S. Posthumus,,,,,,,,,,
2201,/daybreakers/trailer,2201,Lionsgate|Horror|Ethan Hawke|Willem Dafoe|Claudia Karvan|Michael Dorman|Vince Colosimo|Isabel Lucas|Sam Neill,2 min 20 sec,"1,647,607",25-Jun-09,Peter Spierig,Peter Spierig,Lionsgate,8-Jan-10,Ethan Hawke;Willem Dafoe;Claudia Karvan;Michael Dorman;Vince Colosimo,Running Up That Hill,Placebo,,,,,,,,,,
2212,/the-lovely-bones/trailer,2212,DreamWorks Pictures|Book|Crime|Drama|Fantasy|Thriller|Horror|Mark Wahlberg|Rachel Weisz|Susan Sarandon|Stanley Tucci|Michael Imperioli|Saoirse Ronan,2 min 31 sec,"1,071,415",4-Aug-09,Peter Jackson,Peter Jackson,DreamWorks Pictures,11-Dec-09,Mark Wahlberg;Rachel Weisz;Susan Sarandon;Stanley Tucci;Michael Imperioli,Alice,Cocteau Twins,,,,,,,,,,
2216,/tooth-fairy/trailer,2216,20th Century Fox|Comedy|Fantasy|Family|Dwayne Johnson|Ashley Judd|Julie Andrews|Stephen Merchant|Ryan Sheckler,2 min 30 sec,"496,434",1-Oct-09,Michael Lembeck,Lowell Ganz,20th Century Fox,22-Jan-10,Dwayne Johnson;Ashley Judd;Julie Andrews;Stephen Merchant;Ryan Sheckler,Flight of the Phoenix,PostHaste Music Library,,,,,,,,,,
