,imdb_id,film_title,year,tradd_url,link,tags,filename,mp4,i
54,tt1225822,Extract,2009,/extract,/extract/teaser-trailer,Miramax Films|Comedy|Teaser|Jason Bateman|Mila Kunis|Ben Affleck|Kristen Wiig|J.K. Simmons|Clifton Collins Jr.|Beth Grant,extract_teaser-trailer,https://vod-progressive.akamaized.net/exp=1614568520~acl=%2A%2F668435711.mp4%2A~hmac=8ea480e40206e150bb57c04bc92fb8f128d2dbd9a4bd6f89d84ef2d0b9ff408b/vimeo-prod-skyfire-std-us/01/4695/7/198476629/668435711.mp4?filename=Extract+-+Teaser+Trailer+%2810159%29.mp4,54
55,tt0120663,Eyes Wide Shut,1999,/eyes-wide-shut,/eyes-wide-shut/feature-trailer,Warner Bros. Pictures|Drama|Mystery|Romance|Tom Cruise|Nicole Kidman|Sydney Pollack|Leelee Sobieski|Marie Richardson|Rade Serbedzija|Todd Field|Vinessa Shaw|Sky du Mont|Fay Masterson,eyes-wide-shut_feature-trailer,https://vod-progressive.akamaized.net/exp=1614568541~acl=%2A%2F675271004.mp4%2A~hmac=abad182438c3e6a94f9838af0c946cea267eefadeb080f4a2505429f0bbf0c9a/vimeo-prod-skyfire-std-us/01/6/8/200034136/675271004.mp4?filename=Eyes+Wide+Shut+-+Feature+Trailer+%2897148%29.mp4,55
56,tt0120663,Eyes Wide Shut,1999,/eyes-wide-shut,/eyes-wide-shut/trailer,Warner Bros. Pictures|Drama|Mystery|Romance|Tom Cruise|Nicole Kidman|Sydney Pollack|Leelee Sobieski,eyes-wide-shut_trailer,https://vod-progressive.akamaized.net/exp=1614568551~acl=%2A%2F675271034.mp4%2A~hmac=7017bf5e87ed18b2792e43c7980f39811b99e2b1308881cbdc2b0c1709c8534f/vimeo-prod-skyfire-std-us/01/6/8/200034134/675271034.mp4?filename=Eyes+Wide+Shut+-+Trailer+%2897147%29.mp4,56
57,tt1013752,Fast & Furious,2009,/fast-and-furious-2009,/fast-and-furious-2009/trailer,Universal Pictures|Franchise/Epic/Trilogy|Action|Thriller|Vin Diesel|Paul Walker|Michelle Rodriguez|Jordana Brewster,fast-and-furious-2009_trailer,https://vod-progressive.akamaized.net/exp=1614568566~acl=%2A%2F668320846.mp4%2A~hmac=5168f6ab8456b3cda9f5c6b2f58748c45854a8bd3093a760775bdfc4665cd0c8/vimeo-prod-skyfire-std-us/01/4689/7/198447683/668320846.mp4?filename=Fast+%26+Furious+-+Trailer+%286150%29.mp4,57
58,tt1433108,Faster,2010,/faster,/faster/trailer,CBS Films|Thriller|Action|Drama|Dwayne Johnson|Maggie Grace|Billy Bob Thornton|Jennifer Carpenter|Carla Gugino|Adewale Akinnuoye-Agbaje|Oliver Jackson-Cohen,faster_trailer,https://vod-progressive.akamaized.net/exp=1614568585~acl=%2A%2F670857020.mp4%2A~hmac=75afe1ef16469006222a6a8c8b2886ebde68b949c83ae1128365673f091c5e40/vimeo-prod-skyfire-std-us/01/4806/7/199031927/670857020.mp4?filename=Faster+-+Trailer+%2828720%29.mp4,58
59,tt1433108,Faster,2010,/faster,/faster/teaser-trailer,CBS Films|Thriller|Action|Drama|Teaser|Dwayne Johnson|Maggie Grace|Billy Bob Thornton,faster_teaser-trailer,https://vod-progressive.akamaized.net/exp=1614568596~acl=%2A%2F670521108.mp4%2A~hmac=7270a710b1f6d66c8f5c642ba24ca7edde00531104e562254805ebb4a6837c62/vimeo-prod-skyfire-std-us/01/4791/7/198955993/670521108.mp4?filename=Faster+-+Teaser+Trailer+%2824612%29.mp4,59
60,tt2322441,Fifty Shades of Grey,2015,/fifty-shades-of-grey,/fifty-shades-of-grey/trailer,Focus Features|Book|Drama|Romance|Jamie Dornan|Dakota Johnson,fifty-shades-of-grey_trailer,https://vod-progressive.akamaized.net/exp=1614568608~acl=%2A%2F674932446.mp4%2A~hmac=cfe54aa84669c7408d8d7ace7116e57065fe150cf2efbde216e385707cf84f5e/vimeo-prod-skyfire-std-us/01/4991/7/199956249/674932446.mp4?filename=Fifty+Shades+of+Grey+-+Trailer+%2892829%29.mp4,60
61,tt1082601,Fighting,2009,/fighting,/fighting/trailer,Rogue Pictures|Drama|Channing Tatum|Terrence Howard|Brian J. White|Luis Guzman|Zulay Henao,fighting_trailer,https://vod-progressive.akamaized.net/exp=1614568630~acl=%2A%2F668371340.mp4%2A~hmac=7a9daa7252ce21374024c30e1374570fd31e2f7ea18c3daa715e2b0880476bc0/vimeo-prod-skyfire-std-us/01/4692/7/198460581/668371340.mp4?filename=Fighting+-+Trailer+%288136%29.mp4,61
62,tt1907668,Flight,2012,/flight-2012,/flight-2012/trailer,Paramount Pictures|Drama|Denzel Washington|Kelly Reilly|Don Cheadle|Bruce Greenwood|Brian Geraghty|John Goodman|Tamara Tunie,flight-2012_trailer,https://vod-progressive.akamaized.net/exp=1614568654~acl=%2A%2F672787138.mp4%2A~hmac=f9ef93674eb3cfa711875715f02fdaa4f043048d0c4e5faaf21a2976bbbf5347/vimeo-prod-skyfire-std-us/01/4893/7/199465394/672787138.mp4?filename=Flight+-+Trailer+%2857905%29.mp4,62
63,tt2381941,Focus,2015,/focus-2014,/focus-2014/trailer,Warner Bros. Pictures|Comedy|Crime|Romance|Margot Robbie|Will Smith|Rodrigo Santoro|BD Wong|Gerald McRaney|Robert Taylor|Adrian Martinez|Brennan Brown,focus-2014_trailer,https://vod-progressive.akamaized.net/exp=1614568673~acl=%2A%2F675116552.mp4%2A~hmac=754690980bfd13003354d24f45183a056252e5f1e2d7e793545311ae11d0418b/vimeo-prod-skyfire-std-us/01/4999/7/199999843/675116552.mp4?filename=Focus+-+Trailer+%2895650%29.mp4,63
64,tt0390022,Friday Night Lights,2004,/friday-night-lights,/friday-night-lights/trailer,Universal Pictures|Sport|Drama|Billy Bob Thornton|Jay Hernandez|Tim McGraw|Lucas Black|Derek Luke|Lee Thompson Young|Connie Britton|Garrett Hedlund,friday-night-lights_trailer,https://vod-progressive.akamaized.net/exp=1614568694~acl=%2A%2F667969977.mp4%2A~hmac=1e808b82f3e7c11052848b8c229a89c0f449f588493ef92d77c916d536f0b9d1/vimeo-prod-skyfire-std-us/01/4673/7/198369655/667969977.mp4?filename=Friday+Night+Lights+-+Trailer+%28495%29.mp4,64
65,tt0492389,Furry Vengeance,2010,/furry-vengeance,/furry-vengeance/trailer,Summit Entertainment|Comedy|Brendan Fraser|Brooke Shields|Ken Jeong|Matt Prokop,furry-vengeance_trailer,https://vod-progressive.akamaized.net/exp=1614568708~acl=%2A%2F668681616.mp4%2A~hmac=f6bb1eb4c3ca8dba32212e93e2de0bbfb1ea0d1a17de6c8f1a0f4a1f26fda187/vimeo-prod-skyfire-std-us/01/4707/7/198535913/668681616.mp4?filename=Furry+Vengeance+-+Trailer+%2817169%29.mp4,65
66,tt1583421,G.I. Joe: Retaliation,2013,/gi-joe-2-retaliation,/gi-joe-2-retaliation/trailer,Paramount Pictures|Action|Adventure|Cartoon|Franchise/Epic/Trilogy|Channing Tatum|Ray Park|Dwayne Johnson|Bruce Willis|Elodie Yung|RZA|D.J. Cotrona|Adrianne Palicki|Ray Stevenson|Joseph Mazzello|Walton Goggins|DeRay Davis,gi-joe-2-retaliation_trailer,https://vod-progressive.akamaized.net/exp=1614568723~acl=%2A%2F672485807.mp4%2A~hmac=1ca751b53f4dab09be15b6e20ab6383b0856fa409c9bb68690c632ba1b2e53a8/vimeo-prod-skyfire-std-us/01/4878/7/199394448/672485807.mp4?filename=G.I.+Joe+2%3A+Retaliation+-+Trailer+%2850055%29.mp4,66
67,tt1034032,Gamer,2009,/gamer,/gamer/trailer,Lionsgate|Foreign / Foreign Language|Action|Drama|Thriller|Gerard Butler|Michael C. Hall|Milo Ventimiglia|Alison Lohman|John Lequizamo|Efren Ramirez|Terry Crews|Kyra Sedgwick|Zoe Bell|Ludacris,gamer_trailer,https://vod-progressive.akamaized.net/exp=1614568740~acl=%2A%2F668463411.mp4%2A~hmac=2260960573df078ca7b344156ca549abd5705303b7cfbe456d71e67ee8dbff75/vimeo-prod-skyfire-std-us/01/4696/7/198483401/668463411.mp4?filename=Gamer+-+Trailer+%2810854%29.mp4,67
68,tt1321870,Gangster Squad,2013,/the-gangster-squad,/the-gangster-squad/feature-trailer,Warner Bros. Pictures|Crime|Action|Josh Brolin|Ryan Gosling|Nick Nolte|Robert Patrick|Michael Pe̱a|Giovanni Ribisi|Anthony Mackie|Emma Stone|Sean Penn,the-gangster-squad_feature-trailer,https://vod-progressive.akamaized.net/exp=1614568762~acl=%2A%2F673170958.mp4%2A~hmac=1d3ad6ca1c99596017f2a33cd2d320200da4b024c1aaaff46b6b9c3e78fe25f9/vimeo-prod-skyfire-std-us/01/4911/7/199558128/673170958.mp4?filename=Gangster+Squad+-+Feature+Trailer+%2868264%29.mp4,68
