,album_type,artists,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri,external_urls.spotify,movieid
0,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2M4eNCvV3CJUswavkhAQg2'}, 'href': 'https://api.spotify.com/v1/artists/2M4eNCvV3CJUswavkhAQg2', 'id': '2M4eNCvV3CJUswavkhAQg2', 'name': 'James Newton Howard', 'type': 'artist', 'uri': 'spotify:artist:2M4eNCvV3CJUswavkhAQg2'}]",https://api.spotify.com/v1/albums/7BLqcJ4LPGz8qZ1EHST5lt,7BLqcJ4LPGz8qZ1EHST5lt,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730153b46eb11fb2b7a6f8e917', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e020153b46eb11fb2b7a6f8e917', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048510153b46eb11fb2b7a6f8e917', 'width': 64}]",Nightcrawler (Original Motion Picture Soundtrack),2014-10-14,day,28.0,album,spotify:album:7BLqcJ4LPGz8qZ1EHST5lt,https://open.spotify.com/album/7BLqcJ4LPGz8qZ1EHST5lt,tt2872718
0,compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]",https://api.spotify.com/v1/albums/1XvFUO62HsqQxJyQA7EfYz,1XvFUO62HsqQxJyQA7EfYz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730c1e9c1c8c2dadfd5e092e4e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e020c1e9c1c8c2dadfd5e092e4e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048510c1e9c1c8c2dadfd5e092e4e', 'width': 64}]",Nights In Rodanthe (Original Motion Picture Soundtrack),2008-09-23,day,12.0,album,spotify:album:1XvFUO62HsqQxJyQA7EfYz,https://open.spotify.com/album/1XvFUO62HsqQxJyQA7EfYz,tt0956038
0,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6jy0VQ5tLwEKBeMxZ1aK4J'}, 'href': 'https://api.spotify.com/v1/artists/6jy0VQ5tLwEKBeMxZ1aK4J', 'id': '6jy0VQ5tLwEKBeMxZ1aK4J', 'name': 'Jeff Williams', 'type': 'artist', 'uri': 'spotify:artist:6jy0VQ5tLwEKBeMxZ1aK4J'}]",https://api.spotify.com/v1/albums/687Jrlty7ZRFyWEPvYNEHC,687Jrlty7ZRFyWEPvYNEHC,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d4d484ce6112efca034e4089', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d4d484ce6112efca034e4089', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d4d484ce6112efca034e4089', 'width': 64}]",Red vs. Blue Season 9 Soundtrack,2011-12-07,day,23.0,album,spotify:album:687Jrlty7ZRFyWEPvYNEHC,https://open.spotify.com/album/687Jrlty7ZRFyWEPvYNEHC,tt0875034
0,compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]",https://api.spotify.com/v1/albums/0G8f6145VaFxFDq9vBida1,0G8f6145VaFxFDq9vBida1,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731ee53bcf77149c6a097b7df7', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021ee53bcf77149c6a097b7df7', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511ee53bcf77149c6a097b7df7', 'width': 64}]",Ninja Assassin (Original Motion Picture Soundtrack),2009-11-27,day,15.0,album,spotify:album:0G8f6145VaFxFDq9vBida1,https://open.spotify.com/album/0G8f6145VaFxFDq9vBida1,tt1186367
0,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3tsxfbn0Pldv8liencQfmV'}, 'href': 'https://api.spotify.com/v1/artists/3tsxfbn0Pldv8liencQfmV', 'id': '3tsxfbn0Pldv8liencQfmV', 'name': 'Doug Horley', 'type': 'artist', 'uri': 'spotify:artist:3tsxfbn0Pldv8liencQfmV'}]",https://api.spotify.com/v1/albums/16fJJnzSAszqvRnxepbJDG,16fJJnzSAszqvRnxepbJDG,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d79aaeecc4969e85165ec6d0', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d79aaeecc4969e85165ec6d0', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d79aaeecc4969e85165ec6d0', 'width': 64}]",Noah: A Musical Adventure (Soundtrack from the Musical),2014-05-07,day,18.0,album,spotify:album:16fJJnzSAszqvRnxepbJDG,https://open.spotify.com/album/16fJJnzSAszqvRnxepbJDG,tt1959490
0,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6uhyakkTnWoxbEKn9pIc6V'}, 'href': 'https://api.spotify.com/v1/artists/6uhyakkTnWoxbEKn9pIc6V', 'id': '6uhyakkTnWoxbEKn9pIc6V', 'name': 'John Ottman', 'type': 'artist', 'uri': 'spotify:artist:6uhyakkTnWoxbEKn9pIc6V'}]",https://api.spotify.com/v1/albums/0EFxoMJLiMywlAYgVQiaTE,0EFxoMJLiMywlAYgVQiaTE,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27331484f59c970017761c8d98c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0231484f59c970017761c8d98c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485131484f59c970017761c8d98c', 'width': 64}]",Non-Stop (Original Motion Picture Soundtrack),2014-01-01,day,21.0,album,spotify:album:0EFxoMJLiMywlAYgVQiaTE,https://open.spotify.com/album/0EFxoMJLiMywlAYgVQiaTE,tt2024469
0,compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]",https://api.spotify.com/v1/albums/6NnhuDSmMEkbYF1Md94s7m,6NnhuDSmMEkbYF1Md94s7m,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738fe40357aa129159c3001fa6', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e028fe40357aa129159c3001fa6', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048518fe40357aa129159c3001fa6', 'width': 64}]",Norbit (Original Motion Picture Soundtrack),2007,year,16.0,album,spotify:album:6NnhuDSmMEkbYF1Md94s7m,https://open.spotify.com/album/6NnhuDSmMEkbYF1Md94s7m,tt0477051
0,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/69lxxQvsfAIoQbB20bEPFC'}, 'href': 'https://api.spotify.com/v1/artists/69lxxQvsfAIoQbB20bEPFC', 'id': '69lxxQvsfAIoQbB20bEPFC', 'name': 'Philip Glass', 'type': 'artist', 'uri': 'spotify:artist:69lxxQvsfAIoQbB20bEPFC'}]",https://api.spotify.com/v1/albums/08FMYTikWTv7UBhetbZuw7,08FMYTikWTv7UBhetbZuw7,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730940f1793ead273f1f470702', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e020940f1793ead273f1f470702', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048510940f1793ead273f1f470702', 'width': 64}]",Notes on a Scandal (Original Motion Picture Soundtrack),2007,year,20.0,album,spotify:album:08FMYTikWTv7UBhetbZuw7,https://open.spotify.com/album/08FMYTikWTv7UBhetbZuw7,tt0465551
0,compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]",https://api.spotify.com/v1/albums/24kyacpyGz1gfbIoTgLl9B,24kyacpyGz1gfbIoTgLl9B,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b373c03d10bf02c43dce6b2f', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b373c03d10bf02c43dce6b2f', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b373c03d10bf02c43dce6b2f', 'width': 64}]",Now You See Me (Original Motion Picture Soundtrack),2013-01-01,day,12.0,album,spotify:album:24kyacpyGz1gfbIoTgLl9B,https://open.spotify.com/album/24kyacpyGz1gfbIoTgLl9B,tt1670345
0,compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]",https://api.spotify.com/v1/albums/6E4N1vfm0rfQ2nh2HrgBRP,6E4N1vfm0rfQ2nh2HrgBRP,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fd059ebd9375c88c45dded66', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02fd059ebd9375c88c45dded66', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851fd059ebd9375c88c45dded66', 'width': 64}]",Nurse Betty (Original Motion Picture Soundtrack),2000-01-01,day,21.0,album,spotify:album:6E4N1vfm0rfQ2nh2HrgBRP,https://open.spotify.com/album/6E4N1vfm0rfQ2nh2HrgBRP,tt0171580
