id,imdb_id,film_title,year,tradd_url,link,tags,filename,mp4,cheerful,passionate,sad,excited,mighty,expectant ,bar,drive,night,run,twilight,love,movie,broadway,animation,KTV hit,Oscar,advertisement,two dimensions,Disney,comic film,the 00's ,the 10's ,action,adventure,comicbook,comedy,thriller,drama,musical,war,sci fi,fantasy,crime,mystery,romance,epic,sport,family
87,tt1355630,If I Stay,2014,/if-i-stay,/if-i-stay/trailer,Warner Bros. Pictures|Metro Goldwyn Mayer (MGM)|Drama|ChloÃ« Grace Moretz|Mireille Enos|Jamie Blackley,if-i-stay_trailer,https://vod-progressive.akamaized.net/exp=1614569096~acl=%2A%2F674719763.mp4%2A~hmac=1cd8bdbdd81cffaeae2982ccd3d4d255532ef2efcc01d2bddbcdb22db8cf0def/vimeo-prod-skyfire-std-us/01/4981/7/199906909/674719763.mp4?filename=If+I+Stay+-+Trailer+%2889355%29.mp4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
91,tt2096673,Inside Out,2015,/inside-out-2015,/inside-out-2015/teaser-trailer,Walt Disney Pictures|Pixar Animation|Family|CG Animation|Teaser|Amy Poehler|Mindy Kaling|Bill Hader|Phyllis Smith|Lewis Black,inside-out-2015_teaser-trailer,https://vod-progressive.akamaized.net/exp=1614569187~acl=%2A%2F675087538.mp4%2A~hmac=c8e5b389463650b35cc9a79b92a8aa9f22455bbb86379df9e8b269acd28240e0/vimeo-prod-skyfire-std-us/01/4998/7/199992628/675087538.mp4?filename=Inside+Out+-+Teaser+Trailer+%2895312%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,tt1228705,Iron Man 2,2010,/iron-man-2,/iron-man-2/feature-trailer,"Comicbook|Action|Marvel Studios|Paramount Pictures|Franchise/Epic/Trilogy|Gwyneth Paltrow|Don Cheadle|Mickey Rourke|Sam Rockwell|Samuel L. Jackson|Scarlett Johansson|Garry Shandling|Robert Downey, Jr.",iron-man-2_feature-trailer,https://vod-progressive.akamaized.net/exp=1614569253~acl=%2A%2F668735589.mp4%2A~hmac=107a1e5137a42bb86c1c78404a55ec6c110acdb0e6d99ad3cad67bf739ca2967/vimeo-prod-skyfire-std-us/01/4709/7/198549625/668735589.mp4?filename=Iron+Man+2+-+Feature+Trailer+%2819379%29.mp4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
95,tt1228705,Iron Man 2,2010,/iron-man-2,/iron-man-2/trailer,"Comicbook|Action|Marvel Studios|Paramount Pictures|Franchise/Epic/Trilogy|Gwyneth Paltrow|Don Cheadle|Mickey Rourke|Sam Rockwell|Samuel L. Jackson|Scarlett Johansson|Garry Shandling|Robert Downey, Jr.",iron-man-2_trailer,https://vod-progressive.akamaized.net/exp=1614569271~acl=%2A%2F668678059.mp4%2A~hmac=8aaaf6e01e1512deadb51df51eac7e6a7889ce511e6d120721df208ad906386e/vimeo-prod-skyfire-std-us/01/4706/7/198534983/668678059.mp4?filename=Iron+Man+2+-+Trailer+%2817044%29.mp4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
96,tt1351685,Jack the Giant Slayer,2013,/jack-the-giant-killer,/jack-the-giant-killer/feature-trailer,New Line Cinema|Warner Bros. Pictures|Book|Fantasy|Action|Adventure|Nicholas Hoult|Eleanor Tomlinson|Stanley Tucci|Ewan McGregor|Ian Mcshane|Raine McCormack|Eddie Marson|Ewen Bremner,jack-the-giant-killer_feature-trailer,https://vod-progressive.akamaized.net/exp=1614569288~acl=%2A%2F673080324.mp4%2A~hmac=684aec005ac3c325946b86cf7cb9925a83f64f697da01f294bf1e2b330b2b23e/vimeo-prod-skyfire-std-us/01/4907/7/199535860/673080324.mp4?filename=Jack+the+Giant+Slayer+-+Feature+Trailer+%2866240%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
103,tt1277953,Madagascar 3: Europe's Most Wanted,2012,/madagascar-3,/madagascar-3/feature-trailer,Dreamworks Animation|CG Animation|Adventure|Comedy|Family|Franchise/Epic/Trilogy|Ben Stiller|Chris Rock|David Schwimmer|Jada Pinkett Smith|Sacha Baron Cohen,madagascar-3_feature-trailer,https://vod-progressive.akamaized.net/exp=1614569408~acl=%2A%2F672650704.mp4%2A~hmac=e809a2e7604e1a6dbfc0a063560cb996ddd1abd97ca643329349932913b6964e/vimeo-prod-skyfire-std-us/01/4886/7/199432940/672650704.mp4?filename=Madagascar+3%3A+Europe%27s+Most+Wanted+-+Feature+Trailer+%2854406%29.mp4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
104,tt0175880,Magnolia,2000,/magnolia,/magnolia/trailer,New Line Cinema|Drama|Jeremy Blackman|Michael Bowen|Tom Cruise|Melinda Dillon|Henry Gibson|April Grace|Philip Baker Hall|Philip Seymour Hoffman|William H. Macy|Julianne Moore|John C. Reilly|Jason Robards|Melora Walters,magnolia_trailer,https://vod-progressive.akamaized.net/exp=1614569440~acl=%2A%2F668684357.mp4%2A~hmac=51c7ba18aeb0c3ccd1c5e34952bd9b1ba72723b3c3ce71818e6eebfca9b3b655/vimeo-prod-skyfire-std-us/01/4707/7/198536590/668684357.mp4?filename=Magnolia+-+Trailer+%2817303%29.mp4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,tt0175880,Magnolia,2000,/magnolia,/magnolia/teaser-trailer,New Line Cinema|Drama|Teaser|Jeremy Blackman|Tom Cruise|Henry Gibson|April Grace|Philip Baker Hall|Philip Seymour Hoffman|William H. Macy|Julianne Moore|John C. Reilly|Jason Robards|Melora Walters,magnolia_teaser-trailer,https://vod-progressive.akamaized.net/exp=1614569454~acl=%2A%2F668684370.mp4%2A~hmac=d01b5a793b2eba7a9a3e13b3a1c8333028dd5f529b4b957329806a503e0a4531/vimeo-prod-skyfire-std-us/01/4707/7/198536587/668684370.mp4?filename=Magnolia+-+Teaser+Trailer+%2817302%29.mp4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,tt0770828,Man of Steel,2013,/man-of-steel,/man-of-steel/teaser-trailer,Warner Bros. Pictures|Action|Adventure|Behind the Scenes|Comicbook|Fantasy|Franchise/Epic/Trilogy|Henry Cavill|Teaser,man-of-steel_teaser-trailer,https://vod-progressive.akamaized.net/exp=1614569467~acl=%2A%2F672862920.mp4%2A~hmac=ade8e8ec03335ed51b7a27a8d5f40be5f3c13db58ba7b8bf69e4c955faa8a488/vimeo-prod-skyfire-std-us/01/4896/7/199483414/672862920.mp4?filename=Man+of+Steel+-+Teaser+Trailer+%2859536%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0
109,tt2097298,"McFarland, USA",2015,/mcfarland-usa,/mcfarland-usa/trailer,Walt Disney Pictures|Drama|Sport|Kevin Costner|Maria Bello|Morgan Saylor|Martha Higareda|Michael Aguero|Sergio Avelar|Hector Duran|Rafael Martinez|Johnny Ortiz|Carlos Pratts|Ramiro Rodriguez|Danny Mora|Valente Rodriguez|Vanessa Martinez|Chris Ellis,mcfarland-usa_trailer,https://vod-progressive.akamaized.net/exp=1614569516~acl=%2A%2F675205530.mp4%2A~hmac=1f490d461f56a90d36e3e9c8d6eba34a504d1ddef596d3f4fa42fa443e02abbc/vimeo-prod-skyfire-std-us/01/3/8/200019867/675205530.mp4?filename=McFarland+USA+-+Trailer+%2896545%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
