,href,icons,id,name
31,https://api.spotify.com/v1/browse/categories/soul,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/soul-274x274_266bc900b35dda8956380cffc73a4d8c_0_0_274_274.jpg', 'width': 274}]",soul,Soul
32,https://api.spotify.com/v1/browse/categories/sessions,"[{'height': None, 'url': 'https://t.scdn.co/images/986a6f23-b61b-43c5-85dd-c66cc66e0f40.jpg', 'width': None}]",sessions,Spotify Singles
33,https://api.spotify.com/v1/browse/categories/dinner,"[{'height': 274, 'url': 'https://t.scdn.co/media/original/dinner_1b6506abba0ba52c54e6d695c8571078_274x274.jpg', 'width': 274}]",dinner,Cooking & Dining
34,https://api.spotify.com/v1/browse/categories/sports,"[{'height': None, 'url': 'https://t.scdn.co/images/f6af3964b092490884d5249dcf381dc3.jpeg', 'width': None}]",sports,Sports
35,https://api.spotify.com/v1/browse/categories/romance,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/romance-274x274_8100794c94847b6d27858bed6fa4d91b_0_0_274_274.jpg', 'width': 274}]",romance,Romance
36,https://api.spotify.com/v1/browse/categories/kpop,"[{'height': None, 'url': 'https://t.scdn.co/images/2078afd91e4d431eb19efc5bee5ab131.jpeg', 'width': None}]",kpop,K-Pop
37,https://api.spotify.com/v1/browse/categories/punk,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/punk-274x274_f3f1528ea7bbb60a625da13e3315a40b_0_0_274_274.jpg', 'width': 274}]",punk,Punk
38,https://api.spotify.com/v1/browse/categories/regional_mexican,"[{'height': None, 'url': 'https://t.scdn.co/images/c765fa1ce6994fce8796d2d0d93c1e61.jpeg', 'width': None}]",regional_mexican,Regional Mexican
39,https://api.spotify.com/v1/browse/categories/popculture,"[{'height': None, 'url': 'https://t.scdn.co/images/ac75ec857b714a118c73218bb58664e5.jpeg', 'width': None}]",popculture,Pop culture
40,https://api.spotify.com/v1/browse/categories/arab,"[{'height': None, 'url': 'https://t.scdn.co/images/41c540e662c0476c8729eb12c2f08995.jpeg', 'width': None}]",arab,Arab
41,https://api.spotify.com/v1/browse/categories/desi,"[{'height': None, 'url': 'https://t.scdn.co/images/878e1eda3d084a4584465626a8f7dd26.jpeg', 'width': None}]",desi,Desi
42,https://api.spotify.com/v1/browse/categories/anime,"[{'height': None, 'url': 'https://t.scdn.co/images/54841f7d6a774ef096477c99c23f0cf1.jpeg', 'width': None}]",anime,Anime
43,https://api.spotify.com/v1/browse/categories/thirdparty,"[{'height': None, 'url': 'https://t.scdn.co/images/b4182906bf244b4994805084c057e9ee.jpeg', 'width': None}]",thirdparty,Tastemakers
44,https://api.spotify.com/v1/browse/categories/afro,"[{'height': None, 'url': 'https://t.scdn.co/images/b505b01bbe0e490cbe43b07f16212892.jpeg', 'width': None}]",afro,Afro
45,https://api.spotify.com/v1/browse/categories/comedy,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/comedy-274x274_d07fcbc1202f00f8684f37742d0a4f2f_0_0_274_274.jpg', 'width': 274}]",comedy,Comedy
46,https://api.spotify.com/v1/browse/categories/metal,"[{'height': 274, 'url': 'https://t.scdn.co/media/original/metal_27c921443fd0a5ba95b1b2c2ae654b2b_274x274.jpg', 'width': 274}]",metal,Metal
47,https://api.spotify.com/v1/browse/categories/caribbean,"[{'height': None, 'url': 'https://t.scdn.co/images/495fadcefe234607b14b2db3381f3f5d.jpeg', 'width': None}]",caribbean,Caribbean
48,https://api.spotify.com/v1/browse/categories/blues,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/icon-274x274_aeeb8eb70c80e2b701b25425390a1737_0_0_274_274.jpg', 'width': 274}]",blues,Blues
49,https://api.spotify.com/v1/browse/categories/funk,"[{'height': None, 'url': 'https://t.scdn.co/images/f4f0987fcab446fcaa7173acb5e25701.jpeg', 'width': None}]",funk,Funk
