title,movieid,year,movieurl,release_date,release_country,Trailer_Results,href,title,date,director,writer,cast,Trailers
"After Dark, My Sweet",tt0098994,1990,http://www.imdb.com/title/tt0098994/,8/24/1990,USA,31,/after-dark-my-sweet,"After Dark, My Sweet",8/24/1990,James Foley,"Jim Thompson (novel), Robert Redlin","Jason Patric,  Rocky Giordani,  Rachel Ward",1
The Witches,tt0100944,1990,http://www.imdb.com/title/tt0100944/,8/24/1990,USA,5,/the-witches-1990,The Witches,8/24/1990,Nicolas Roeg,"Roald Dahl, Allan Scott","Jasen Fisher,  Anjelica Huston,  Mai Zetterling",1
Death Warrant,tt0099385,1990,http://www.imdb.com/title/tt0099385/,9/14/1990,USA,31,/death-warrant,Death Warrant,9/14/1990,Deran Sarafian,David S. Goyer,"Jean-Claude Van Damme,  Robert Guillaume,  Cynthia Gibb",1
State of Grace,tt0100685,1990,http://www.imdb.com/title/tt0100685/,9/14/1990,USA,31,/state-of-grace,State Of Grace,9/14/1990,Phil Joanou,Dennis McIntyre,"Sean Penn,  Ed Harris,  Gary Oldman",1
Goodfellas,tt0099685,1990,http://www.imdb.com/title/tt0099685/,9/21/1990,USA,1,/goodfellas,Goodfellas,9/21/1990,Martin Scorsese,"Nicholas Pileggi, Martin Scorsese","Robert De Niro,  Ray Liotta,  Joe Pesci",3
Texasville,tt0103069,1990,http://www.imdb.com/title/tt0103069/,9/28/1990,USA,1,/texasville,Texasville,9/28/1990,Peter Bogdanovich,"Larry McMurtry, Peter Bogdanovich","Jeff Bridges,  Timothy Bottoms,  Cybill Shepherd",1
Avalon,tt0099073,1990,http://www.imdb.com/title/tt0099073/,10/19/1990,USA,2,/avalon-1990,Avalon,10/5/1990,Barry Levinson,Barry Levinson,"Armin Mueller-Stahl,  Elizabeth Perkins,  Joan Plowright",1
Child's Play 2,tt0099253,1990,http://www.imdb.com/title/tt0099253/,11/9/1990,USA,30,/childs-play-2,Child's Play 2,11/9/1990,John Lafia,Don Mancini,"Alex Vincent,  Jenny Agutter,  Gerrit Graham",1
Home Alone,tt0099785,1990,http://www.imdb.com/title/tt0099785/,11/16/1990,USA,31,/home-alone,Home Alone,11/16/1990,Chris Columbus,John Hughes,"Macaulay Culkin,  Joe Pesci,  Daniel Stern",1
Rocky V,tt0100507,1990,http://www.imdb.com/title/tt0100507/,11/16/1990,USA,9,/rocky-v,Rocky V,11/16/1990,John G. Avildsen,Sylvester Stallone,"Sylvester Stallone,  Talia Shire,  Burt Young",1
The Rescuers Down Under,tt0100477,1990,http://www.imdb.com/title/tt0100477/,11/16/1990,USA,31,/the-rescuers-down-under,The Rescuers Down Under,11/16/1990,"Hendel Butoy, Mike Gabriel","Jim Cox, Karey Kirkpatrick, Byron Simpson, Joe Ranft","Bob Newhart,  Eva Gabor,  John Candy",3
Dances with Wolves,tt0099348,1990,http://www.imdb.com/title/tt0099348/,11/21/1990,USA,31,/dances-with-wolves,Dances With Wolves,11/21/1990,Kevin Costner,Michael Blake,"Kevin Costner,  Mary McDonnell,  Graham Greene",9
Predator 2,tt0100403,1990,http://www.imdb.com/title/tt0100403/,11/21/1990,USA,6,/predator-2,Predator 2,11/21/1990,Stephen Hopkins,"Jim Thomas, John Thomas","Danny Glover,  Gary Busey,  María Conchita Alonso",2
Misery,tt0100157,1990,http://www.imdb.com/title/tt0100157/,11/30/1990,USA,2,/misery,Misery,11/30/1990,Rob Reiner,William Goldman,"James Caan,  Kathy Bates,  Richard Farnsworth",1
The Sheltering Sky,tt0100594,1990,http://www.imdb.com/title/tt0100594/,12/12/1990,USA,31,/the-sheltering-sky,The Sheltering Sky,12/14/1990,Bernardo Bertolucci,"Mark Peploe, Bernardo Bertolucci, Paul Bowles","Debra Winger,  John Malkovich,  Campbell Scott",2
Edward Scissorhands,tt0099487,1990,http://www.imdb.com/title/tt0099487/,12/14/1990,USA,1,/edward-scissorhands,Edward Scissorhands,12/7/1990,Tim Burton,"Tim Burton, Caroline Thompson","Johnny Depp,  Winona Ryder,  Dianne Wiest",1
The Godfather: Part III,tt0099674,1990,http://www.imdb.com/title/tt0099674/,12/25/1990,USA,30,/godfather-3,The Godfather Part III,12/25/1990,Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola, Vincent Patrick","Al Pacino,  Diane Keaton,  Andy Garcia",1
Lionheart,tt0100029,1991,http://www.imdb.com/title/tt0100029/,1/11/1991,USA,1,/lionheart,Lionheart,7/11/1991,Sheldon Lettich,"S.N. Warren, Jean-Claude Van Damme, Sheldon Lettich","Jean-Claude Van Damme,  Harrison Page,  Deborah Rennard",1
Flight of the Intruder,tt0099587,1991,http://www.imdb.com/title/tt0099587/,1/18/1991,USA,31,/flight-of-the-intruder,Flight of the Intruder,1/18/1991,John Milius,"Stephen Coonts, Robert Dillon, David Shaber","Danny Glover,  Willem Dafoe,  Brad Johnson",2
L.A. Story,tt0102250,1991,http://www.imdb.com/title/tt0102250/,2/8/1991,USA,31,/la-story,L.A. Story,2/8/1991,Mick Jackson,Steve Martin,"Steve Martin,  Victoria Tennant,  Richard E. Grant",1
Sleeping with the Enemy,tt0102945,1991,http://www.imdb.com/title/tt0102945/,2/8/1991,USA,31,/sleeping-with-the-enemy,Sleeping With The Enemy,2/8/1991,Joseph Ruben,Nancy Price,"Julia Roberts,  Patrick Bergin,  Kevin Anderson",1
The Silence of the Lambs,tt0102926,1991,http://www.imdb.com/title/tt0102926/,2/14/1991,USA,31,/the-silence-of-the-lambs,The Silence of the Lambs,2/14/1991,Jonathan Demme,"Thomas Harris, Ted Tally","Jodie Foster,  Lawrence A. Bonney,  Kasi Lemmons",2
"He Said, She Said",tt0102011,1991,http://www.imdb.com/title/tt0102011/,2/22/1991,USA,31,/he-said-she-said,"He Said, She Said",2/22/1991,"Ken Kwapis, Marisa Silver",Brian Hohlfeld,"Kevin Bacon,  Elizabeth Perkins,  Nathan Lane",1
The Doors,tt0101761,1991,http://www.imdb.com/title/tt0101761/,3/1/1991,USA,3,/the-doors-1991,The Doors,3/1/1991,Oliver Stone,"Randall Jahnson, Oliver Stone","Val Kilmer,  Meg Ryan,  Kyle MacLachlan",1
The Hard Way,tt0102004,1991,http://www.imdb.com/title/tt0102004/,3/8/1991,USA,31,/the-hard-way,The Hard Way,3/8/1991,John Badham,"Lem Dobbs, Michael Kozoll","Michael J. Fox,  James Woods,  Stephen Lang",1
Career Opportunities,tt0101545,1991,http://www.imdb.com/title/tt0101545/,3/29/1991,USA,2,/career-opportunities,Career Opportunities,3/29/1991,Bryan Gordon,John Hughes,"Frank Whaley,  Jennifer Connelly,  Dermot Mulroney",1
Backdraft,tt0101393,1991,http://www.imdb.com/title/tt0101393/,5/24/1991,USA,1,/backdraft,Backdraft,5/24/1991,Ron Howard,Gregory Widen,"Kurt Russell,  William Baldwin,  Scott Glenn",2
Thelma & Louise,tt0103074,1991,http://www.imdb.com/title/tt0103074/,5/24/1991,USA,4,/thelma-louise,Thelma & Louise,5/24/1991,Ridley Scott,Callie Khouri,"Susan Sarandon,  Geena Davis,  Harvey Keitel",1
City Slickers,tt0101587,1991,http://www.imdb.com/title/tt0101587/,6/7/1991,USA,31,/city-slickers,City Slickers,6/7/1991,Ron Underwood,"Lowell Ganz, Babaloo Mandel","Billy Crystal,  Bruno Kirby,  Daniel Stern",1
Robin Hood: Prince of Thieves,tt0102798,1991,http://www.imdb.com/title/tt0102798/,6/14/1991,USA,31,/robin-hood-prince-of-thieves,Robin Hood: Prince of Thieves,6/14/1991,Kevin Reynolds,"Pen Densham, John Watson","Kevin Costner,  Morgan Freeman,  Christian Slater",1
The Naked Gun 2�: The Smell of Fear,tt0102510,1991,http://www.imdb.com/title/tt0102510/,6/28/1991,USA,30,/the-naked-gun-2,The Naked Gun 2½,33417,David Zucker,"Jim Abrahams, David Zucker, Jerry Zucker, Pat Proft","Leslie Nielsen,  Priscilla Presley,  George Kennedy",2
Terminator 2: Judgment Day,tt0103064,1991,http://www.imdb.com/title/tt0103064/,7/3/1991,USA,31,/terminator-2,Terminator 2: Judgment Day,7/3/1991,James Cameron,"James Cameron, William Wisher Jr.","Arnold Schwarzenegger,  Linda Hamilton,  Edward Furlong",9
Boyz n the Hood,tt0101507,1991,http://www.imdb.com/title/tt0101507/,7/12/1991,USA,16,/boyz-n-the-hood,Boyz N the Hood,7/12/1991,John Singleton,John Singleton,"Cuba Gooding Jr.,  Ice Cube,  Morris Chestnut",3
Mobsters,tt0102460,1991,http://www.imdb.com/title/tt0102460/,7/26/1991,USA,1,/mobsters,Mobsters,7/26/1991,Michael Karbelnikoff,Michael Mahern,"Christian Slater,  Patrick Dempsey,  Richard Grieco",1
Bingo,tt0101455,1991,http://www.imdb.com/title/tt0101455/,8/9/1991,USA,5,/bingo-1991,Bingo,8/9/1991,Matthew Robbins,Jim Strain,"Cindy Williams,  David Rasche,  Robert J. Steinmiller Jr.",1
Barton Fink,tt0101410,1991,http://www.imdb.com/title/tt0101410/,8/21/1991,USA,2,/barton-fink,Barton Fink,8/21/1991,Joel Coen,"Joel Coen, Ethan Coen","John Turturro,  John Goodman,  Michael Lerner",1
Child's Play 3,tt0103956,1991,http://www.imdb.com/title/tt0103956/,8/30/1991,USA,30,/childs-play-3,Child's Play 3,8/30/1991,Jack Bender,"Don Mancini, Don Mancini","Justin Whalin,  Perrey Reeves,  Brad Dourif",1
Freddy's Dead: The Final Nightmare,tt0101917,1991,http://www.imdb.com/title/tt0101917/,9/13/1991,USA,30,/freddy-dead-final-nightmare-elm-st,Freddy's Dead: The Final Nightmare,9/13/1991,Rachel Talalay,"Wes Craven, Rachel Talalay, Michael De Luca","Robert Englund,  Breckin Meyer,  Lisa Zane",1
The Commitments,tt0101605,1991,http://www.imdb.com/title/tt0101605/,9/13/1991,USA,1,/the-commitments,The Commitments,9/13/1991,Alan Parker,Dick Clement,"Robert Arkins,  Michael Aherne,  Angeline Ball",1
Cool as Ice,tt0101615,1991,http://www.imdb.com/title/tt0101615/,10/18/1991,USA,31,/cool-as-ice,Cool as Ice,10/18/1991,David Kellogg,David Stenn,"Vanilla Ice,  Kristin Minter,  Michael Gross",1
Curly Sue,tt0101635,1991,http://www.imdb.com/title/tt0101635/,10/25/1991,USA,1,/curly-sue,Curly Sue,10/25/1991,John Hughes,John Hughes,"Jim Belushi,  Kelly Lynch,  Alisan Porter",1
Cape Fear,tt0101540,1991,http://www.imdb.com/title/tt0101540/,11/15/1991,USA,31,/cape-fear,Cape Fear,11/13/1991,Martin Scorsese,Wesley Strick,"Robert De Niro,  Nick Nolte,  Jessica Lange",2
Beauty and the Beast,tt0101414,1991,http://www.imdb.com/title/tt0101414/,11/22/1991,USA,33,/beauty-and-the-beast,Beauty and the Beast,11/22/1991,"Gary Trousdale, Kirk Wise",Linda Woolverton,"Robby Benson,  Paige O'Hara,  Richard White",55
Star Trek VI: The Undiscovered Country,tt0102975,1991,http://www.imdb.com/title/tt0102975/,12/6/1991,USA,31,/star-trek-vi-the-undiscovered-country,Star Trek VI: The Undiscovered Country,12/6/1991,Nicholas Meyer,"Leonard Nimoy, Lawrence Konner, Mark Rosenthal, Nicholas Meyer, Denny Martin Flinn, Gene Roddenberry","William Shatner,  Leonard Nimoy,  DeForest Kelley",2
Bugsy,tt0101516,1991,http://www.imdb.com/title/tt0101516/,12/20/1991,USA,1,/bugsy,Bugsy,12/13/1991,Barry Levinson,"Dean Jennings, James Toback","Warren Beatty,  Annette Bening,  Harvey Keitel",1
JFK,tt0102138,1991,http://www.imdb.com/title/tt0102138/,12/20/1991,USA,3,/jfk,JFK,12/20/1991,Oliver Stone,"Jim Marrs, Jim Garrison","Kevin Costner,  Kevin Bacon,  Tommy Lee Jones",1
Kuffs,tt0104647,1992,http://www.imdb.com/title/tt0104647/,1/10/1992,USA,1,/kuffs,Kuffs,1/10/1992,Bruce A. Evans,"Bruce A. Evans, Raynold Gideon","Christian Slater,  Milla Jovovich,  Bruce Boxleitner",1
The Hand That Rocks the Cradle,tt0104389,1992,http://www.imdb.com/title/tt0104389/,1/10/1992,USA,31,/the-hand-that-rocks-the-cradle,The Hand That Rocks the Cradle,1/10/1992,Curtis Hanson,Amanda Silver,"Annabella Sciorra,  Rebecca De Mornay,  Matt McCoy",1
Grand Canyon,tt0101969,1992,http://www.imdb.com/title/tt0101969/,1/17/1992,USA,26,/grand-canyon,Grand Canyon,12/25/1991,Lawrence Kasdan,"Lawrence Kasdan, Meg Kasdan","Danny Glover,  Kevin Kline,  Steve Martin",1
Juice,tt0104573,1992,http://www.imdb.com/title/tt0104573/,1/17/1992,USA,2,/juice,Juice,1/17/1992,Ernest R. Dickerson,"Ernest R. Dickerson, Gerard Brown","Omar Epps,  Tupac Shakur,  Jermaine Hopkins",1
Rush,tt0102820,1992,http://www.imdb.com/title/tt0102820/,1/17/1992,USA,10,/rush,Rush,12/22/1991,Lili Fini Zanuck,"Kim Wozencraft, Pete Dexter","Jason Patric,  Jennifer Jason Leigh,  Sam Elliott",1
Wayne's World,tt0105793,1992,http://www.imdb.com/title/tt0105793/,2/14/1992,USA,30,/waynes-world,Wayne's World,2/14/1992,Penelope Spheeris,"Mike Myers	, Bonnie Turner, Terry Turner","Mike Myers,  Dana Carvey,  Rob Lowe",1
My Cousin Vinny,tt0104952,1992,http://www.imdb.com/title/tt0104952/,3/13/1992,USA,31,/my-cousin-vinny,My Cousin Vinny,3/13/1992,Jonathan Lynn,Dale Launer,"Joe Pesci,  Marisa Tomei,  Ralph Macchio",1
Basic Instinct,tt0103772,1992,http://www.imdb.com/title/tt0103772/,3/20/1992,USA,7,/basic-instinct,Basic Instinct,3/20/1992,Paul Verhoeven,Joe Eszterhas,"Michael Douglas,  Sharon Stone,  George Dzundza",1
White Men Can't Jump,tt0105812,1992,http://www.imdb.com/title/tt0105812/,3/27/1992,USA,30,/white-men-cant-jump,White Men Can't Jump,3/27/1992,Ron Shelton,Ron Shelton,"Wesley Snipes,  Woody Harrelson,  Rosie Perez",1
Beethoven,tt0103786,1992,http://www.imdb.com/title/tt0103786/,4/3/1992,USA,4,/beethoven,Beethoven,4/3/1992,Brian Levant,"John Hughes, Amy Holden Jones","Charles Grodin,  Bonnie Hunt,  Dean Jones",1
Newsies,tt0104990,1992,http://www.imdb.com/title/tt0104990/,4/10/1992,USA,2,/newsies,Newsies,4/10/1992,Kenny Ortega,"Bob Tzudiker, Noni White","Christian Bale,  David Moscow,  Luke Edwards",2
Deep Cover,tt0104073,1992,http://www.imdb.com/title/tt0104073/,4/15/1992,USA,30,/cover,Cover,22-Feb-08,Bill Duke,"Aaron Rahsaan Thomas, Aliya Jackson","Aunjanue Ellis,  Vivica A. Fox,  Raz Adoti",1
City of Joy,tt0103976,1992,http://www.imdb.com/title/tt0103976/,4/17/1992,USA,32,/city-of-joy,City of Joy,4/17/1992,Roland Joffé,"Dominique Lapierre, Mark Medoff","Patrick Swayze,  Om Puri,  Pauline Collins",1
The Babe,tt0103747,1992,http://www.imdb.com/title/tt0103747/,4/17/1992,USA,4,/the-babe-1992,The Babe,4/17/1992,Arthur Hiller,John Fusco,"John Goodman,  Kelly McGillis,  Trini Alvarado",1
The Player,tt0105151,1992,http://www.imdb.com/title/tt0105151/,5/8/1992,USA,3,/player,The Player,4/10/1992,Robert Altman,Michael Tolkin,"Tim Robbins,  Fred Ward,  Greta Scacchi",1
Sister Act,tt0105417,1992,http://www.imdb.com/title/tt0105417/,5/29/1992,USA,31,/sister-act,Sister Act,5/29/1992,Emile Ardolino,Joseph Howard,"Whoopi Goldberg,  Maggie Smith,  Kathy Najimy",1
Patriot Games,tt0105112,1992,http://www.imdb.com/title/tt0105112/,6/5/1992,USA,28,/patriot-games,Patriot Games,6/5/1992,Phillip Noyce,"Tom Clancy, W. Peter Iliff, Donald Stewart","Harrison Ford,  Anne Archer,  Patrick Bergin",1
Aces: Iron Eagle III,tt0103617,1992,http://www.imdb.com/title/tt0103617/,6/12/1992,USA,31,/aces-iron-eagle-iii,Aces: Iron Eagle III,6/12/1992,John Glen,"Kevin Elders, Sidney J. Furie","Louis Gossett,  Jr.,  Rachel McLish",1
Batman Returns,tt0103776,1992,http://www.imdb.com/title/tt0103776/,6/19/1992,USA,24,/batman-returns,Batman Returns,6/19/1992,Tim Burton,"Bob Kane, Daniel Waters, Sam Hamm","Michael Keaton,  Danny DeVito,  Michelle Pfeiffer",1
Cool World,tt0104009,1992,http://www.imdb.com/title/tt0104009/,7/10/1992,USA,31,/cool-world,Cool World,7/10/1992,Ralph Bakshi,"Michael Grais, Mark Victor","Kim Basinger,  Gabriel Byrne,  Brad Pitt",2
Buffy the Vampire Slayer,tt0103893,1992,http://www.imdb.com/title/tt0103893/,7/31/1992,USA,24,/buffy-the-vampire-slayer-1992,Buffy the Vampire Slayer,7/31/1992,Fran Rubel Kuzui,Joss Whedon,"Kristy Swanson,  Donald Sutherland,  Paul Reubens",1
Death Becomes Her,tt0104070,1992,http://www.imdb.com/title/tt0104070/,7/31/1992,USA,31,/death-becomes-her,Death Becomes Her,7/31/1992,Robert Zemeckis,"Martin Donovan, David Koepp","Meryl Streep,  Bruce Willis,  Goldie Hawn",1
Raising Cain,tt0105217,1992,http://www.imdb.com/title/tt0105217/,8/7/1992,USA,10,/raising-cain,Raising Cain,8/7/1992,Brian De Palma,Brian De Palma,"John Lithgow
Lolita Davidovich
Steven Bauer
Frances Sternhagen
Gregg Henry
Tom Bower
Mel Harris
Gabrielle Carteris",1
Unforgiven,tt0105695,1992,http://www.imdb.com/title/tt0105695/,8/7/1992,USA,3,/unforgiven,Unforgiven,8/7/1992,Clint Eastwood,David Peoples,"Clint Eastwood,  Gene Hackman,  Morgan Freeman",2
Honeymoon in Vegas,tt0104438,1992,http://www.imdb.com/title/tt0104438/,8/28/1992,USA,31,/honeymoon-in-vegas,Honeymoon in Vegas,8/28/1992,Andrew Bergman,Andrew Bergman,"James Caan,  Nicolas Cage,  Sarah Jessica Parker",1
Out on a Limb,tt0105078,1992,http://www.imdb.com/title/tt0105078/,9/4/1992,USA,31,/out-on-a-limb,Out on a Limb,9/4/1992,Francis Veber,"Daniel Goldin, Joshua Goldin","Matthew Broderick,  Jeffrey Jones,  Heidi Kling",1
Sneakers,tt0105435,1992,http://www.imdb.com/title/tt0105435/,9/11/1992,USA,2,/sneakers,Sneakers,9/9/1992,Phil Alden Robinson,"Phil Alden Robinson, Lawrence Lasker","Robert Redford,  Dan Aykroyd,  Ben Kingsley",1
The Last of the Mohicans,tt0104691,1992,http://www.imdb.com/title/tt0104691/,9/25/1992,USA,31,/last-of-mohicans,The Last of the Mohicans,9/25/1992,Michael Mann,Michael Mann,"Daniel Day-Lewis,  Madeleine Stowe,  Wes Studi",1
The Mighty Ducks,tt0104868,1992,http://www.imdb.com/title/tt0104868/,10/2/1992,USA,14,/the-mighty-ducks,The Mighty Ducks,10/2/1992,Stephen Herek,Steven Brill,"Emilio Estevez,  Joss Ackland,  Lane Smith",1
Candyman,tt0103919,1992,http://www.imdb.com/title/tt0103919/,10/16/1992,USA,3,/candyman,Candyman,10/16/1992,Bernard Rose,Bernard Rose,"Virginia Madsen,  Tony Todd,  Xander Berkeley",1
