title,movieid,year,movieurl,release_date,release_country,Trailer_Results,href,title,date,director,writer,cast,Trailers
U.S. Marshals,tt0120873,1998,http://www.imdb.com/title/tt0120873/,3/6/1998,USA,1,/us-marshals,U.S. Marshals,3/6/1998,Stuart Baird,"Roy Huggins, John Pogue","Tommy Lee Jones,  Wesley Snipes,  Robert Downey Jr",1
The Man in the Iron Mask,tt0120744,1998,http://www.imdb.com/title/tt0120744/,3/13/1998,USA,31,/the-man-in-the-iron-mask,The Man in the Iron Mask,3/13/1998,Randall Wallace,"Alexandre Dumas père, Randall Wallace","Leonardo DiCaprio,  Jeremy Irons,  John Malkovich",2
Deep Impact,tt0120647,1998,http://www.imdb.com/title/tt0120647/,5/8/1998,USA,31,/deep-impact,Deep Impact,5/8/1998,Mimi Leder,"Bruce Joel Rubin, Michael Tolkin","Elijah Wood,  Tea Leoni,  Morgan Freeman",1
Godzilla,tt0120685,1998,http://www.imdb.com/title/tt0120685/,5/20/1998,USA,6,/godzilla,Godzilla,5/19/1998,Roland Emmerich,"Ted Elliott, Terry Rossio","Matthew Broderick,  Jean Reno,  Maria Pitillo",1
Bulworth,tt0118798,1998,http://www.imdb.com/title/tt0118798/,5/22/1998,USA,1,/bulworth,Bulworth,5/15/1998,Warren Beatty,"Warren Beatty, Jeremy Pikser, Aaron Sorkin, James Toback","Warren Beatty,  Halle Berry,  Oliver Platt",1
Fear and Loathing in Las Vegas,tt0120669,1998,http://www.imdb.com/title/tt0120669/,5/22/1998,USA,31,/fear-and-loathing-in-las-vegas,Fear and Loathing in Las Vegas,5/22/1998,Terry Gilliam,"Terry Gilliam, Tony Grisoni, Alex Cox, Tod Davies, Hunter S. Thompson","Johnny Depp,  Benicio del Toro,  Tobey Maguire",3
Hope Floats,tt0119313,1998,http://www.imdb.com/title/tt0119313/,5/29/1998,USA,31,/hope-floats,Hope Floats,5/29/1998,Forest Whitaker,Steven Rogers,"Sandra Bullock,  Harry Connick Jr.,  Gena Rowlands",1
A Perfect Murder,tt0120787,1998,http://www.imdb.com/title/tt0120787/,6/5/1998,USA,31,/a-perfect-murder,A Perfect Murder,6/5/1998,Andrew Davis,Patrick Smith Kelly,"Michael Douglas,  Gwyneth Paltrow,  Viggo Mortensen",1
Can't Hardly Wait,tt0127723,1998,http://www.imdb.com/title/tt0127723/,6/12/1998,USA,30,/cant-hardly-wait,Can't Hardly Wait,6/12/1998,"Deborah Kaplan, Harry Elfont","Deborah Kaplan, Harry Elfont","Ethan Embry,  Charlie Korsmo,  Lauren Ambrose",1
Dirty Work,tt0120654,1998,http://www.imdb.com/title/tt0120654/,6/12/1998,USA,31,/dirty-work,Dirty Work,6/12/1998,Bob Saget,"Norm MacDonald, Frank Sebastiano, Fred Wolf","Norm MacDonald,  Artie Lange,  Jack Warden",1
High Art,tt0139362,1998,http://www.imdb.com/title/tt0139362/,6/12/1998,USA,31,/high-art,High Art,6/12/1998,Lisa Cholodenko,Lisa Cholodenko,"Radha Mitchell,  Gabriel Mann,  Ally Sheedy",1
The Last Days of Disco,tt0120728,1998,http://www.imdb.com/title/tt0120728/,6/12/1998,USA,31,/last-days-of-disco,The Last Days of Disco,5/29/1998,Whit Stillman,Whit Stillman,"Chloë Sevigny,  Kate Beckinsale,  Chris Eigeman",1
Mulan,tt0120762,1998,http://www.imdb.com/title/tt0120762/,6/19/1998,USA,3,/mulan,Mulan,6/19/1998,"Tony Bancroft, Barry Cook","Rita Hsiao, Philip LaZebnik, Chris Sanders, Eugenia Bostwick-Singer, Raymond Singer","Ming-Na Wen,  Eddie Murphy,  BD Wong",3
The X Files,tt0120902,1998,http://www.imdb.com/title/tt0120902/,6/19/1998,USA,4,/the-x-files,The X-Files,6/19/1998,Rob Bowman,"Chris Carter, Frank Spotnitz","David Duchovny,  Gillian Anderson,  Martin Landau",2
Armageddon,tt0120591,1998,http://www.imdb.com/title/tt0120591/,7/1/1998,USA,3,/armageddon,Armageddon,7/1/1998,Michael Bay,"Jonathan Hensleigh, J.J. Abrams, Robert Roy Pool, Jonathan Hensleigh","Bruce Willis,  Ben Affleck,  Liv Tyler",1
Pi,tt0138704,1998,http://www.imdb.com/title/tt0138704/,7/10/1998,USA,3,/pi,Pi,7/10/1998,Darren Aronofsky,"Darren Aronofsky, Sean Gullette, Eric Watson","Sean Gullette,  Mark Margolis,  Ben Shenkman",1
There's Something About Mary,tt0129387,1998,http://www.imdb.com/title/tt0129387/,7/15/1998,USA,30,/theres-something-about-mary,There's Something About Mary,7/15/1998,"Bobby Farrelly, Peter Farrelly","Bobby Farrelly, Peter Farrelly, Ed Decter","Ben Stiller,  Cameron Diaz,  Matt Dillon",1
The Mask of Zorro,tt0120746,1998,http://www.imdb.com/title/tt0120746/,7/17/1998,USA,31,/mask-of-zorro,The Mask of Zorro,7/17/1998,Martin Campbell,"John Eskow, Ted Elliott, Terry Rossio","Antonio Banderas,  Anthony Hopkins,  Catherine Zeta Jones",2
Saving Private Ryan,tt0120815,1998,http://www.imdb.com/title/tt0120815/,7/24/1998,USA,31,/saving-private-ryan,Saving Private Ryan,7/24/1998,Steven Spielberg,Robert Rodat,"Tom Hanks,  Edward Burns,  Tom Sizemore",6
Blade,tt0120611,1998,http://www.imdb.com/title/tt0120611/,8/21/1998,USA,14,/blade,Blade,8/21/1998,Stephen Norrington,"Marv Wolfman, Gene Colan, David S. Goyer","Wesley Snipes,  Stephen Dorff,  Kris Kristofferson",1
Dance with Me,tt0120576,1998,http://www.imdb.com/title/tt0120576/,8/21/1998,USA,31,/dance-with-me,Dance with Me,8/21/1998,Randa Haines,Daryl Matthews,"Vanessa Williams,  Chayanne,  Kris Kristofferson",1
Next Stop Wonderland,tt0119778,1998,http://www.imdb.com/title/tt0119778/,8/21/1998,USA,31,/next-stop-wonderland,Next Stop Wonderland,8/21/1998,Brad Anderson,"Brad Anderson, Lyn Vaus","Hope Davis,  Alan Gelfant,  Philip Seymour Hoffman",1
Your Friends & Neighbors,tt0119517,1998,http://www.imdb.com/title/tt0119517/,8/21/1998,USA,31,/your-friends-and-neighbors,Your Friends & Neighbors,8/19/1998,Neil LaBute,Neil LaBute,"Amy Brenneman,  Aaron Eckhart,  Catherine Keener",1
54,tt0120577,1998,http://www.imdb.com/title/tt0120577/,8/28/1998,USA,2,/54,54,8/28/1998,Mark Christopher,Mark Christopher,"Ryan Phillippe,  Salma Hayek,  Neve Campbell",11
Rounders,tt0128442,1998,http://www.imdb.com/title/tt0128442/,9/11/1998,USA,1,/rounders,Rounders,9/11/1998,John Dahl,"David Levien, Brian Koppelman","Matt Damon,  Edward Norton,  John Turturro",2
One True Thing,tt0120776,1998,http://www.imdb.com/title/tt0120776/,9/18/1998,USA,31,/one-true-thing,One True Thing,9/18/1998,Carl Franklin,"Anna Quindlen, Karen Croner","Meryl Streep,  Renée Zellweger,  William Hurt",1
Rush Hour,tt0120812,1998,http://www.imdb.com/title/tt0120812/,9/18/1998,USA,31,/rush-hour,Rush Hour,9/18/1998,Brett Ratner,"Ross LaManna, Jim Kouf","Jackie Chan,  Chris Tucker,  Tom Wilkinson",1
Ronin,tt0122690,1998,http://www.imdb.com/title/tt0122690/,9/25/1998,USA,3,/ronin,Ronin,9/25/1998,John Frankenheimer,"J.D. Zeik, David Mamet","Robert De Niro,  Sean Bean,  Stellan Skarsgard",1
A Night at the Roxbury,tt0120770,1998,http://www.imdb.com/title/tt0120770/,10/2/1998,USA,31,/a-night-at-the-roxbury,A Night at the Roxbury,10/2/1998,John Fortenberry,"Steve Koren, Will Ferrell, Chris Kattan","Will Ferrell,  Chris Kattan,  Molly Shannon",1
Antz,tt0120587,1998,http://www.imdb.com/title/tt0120587/,10/2/1998,USA,1,/antz,Antz,10/2/1998,"Eric Darnell, Tim Johnson","Paul Weitz, Chris Weitz, Todd Alcott","Woody Allen,  Sharon Stone,  Gene Hackman",1
Holy Man,tt0120701,1998,http://www.imdb.com/title/tt0120701/,10/9/1998,USA,31,/holy-man,Holy Man,10/9/1998,Stephen Herek,Tom Schulman,"Eddie Murphy,  Jeff Goldblum,  Kelly Preston",1
Pleasantville,tt0120789,1998,http://www.imdb.com/title/tt0120789/,10/23/1998,USA,1,/pleasantville,Pleasantville,9/17/1998,Gary Ross,Gary Ross,"Tobey Maguire,  Reese Witherspoon,  William H. Macy",1
The Waterboy,tt0120484,1998,http://www.imdb.com/title/tt0120484/,11/6/1998,USA,1,/the-waterboy,The Waterboy,11/6/1998,Frank Coraci,"Tim Herlihy, Adam Sandler","Adam Sandler,  Kathy Bates,  Henry Winkler",2
American History X,tt0120586,1998,http://www.imdb.com/title/tt0120586/,11/20/1998,USA,31,/american-history-x,American History X,10/30/1998,Tony Kaye,David McKenna,"Edward Norton,  Edward Furlong,  Beverly D'Angelo",1
A Bug's Life,tt0120623,1998,http://www.imdb.com/title/tt0120623/,11/25/1998,USA,30,/a-bugs-life,A Bug's Life,11/25/1998,"John Lasseter, Andrew Stanton","John Lassetter, Andrew Stanton, Joe Ranft, Donald McEnery, Bob Shaw, Geefwee Boedoe, Jason Katz, Jorgen Klubien, Robert Lence, David Reynolds","Dave Foley,  Kevin Spacey,  Julia Louis-Dreyfus",8
Very Bad Things,tt0124198,1998,http://www.imdb.com/title/tt0124198/,11/25/1998,USA,31,/very-bad-things,Very Bad Things,11/25/1998,Peter Berg,Peter Berg,"Christian Slater,  Cameron Diaz,  Daniel Stern",1
Star Trek: Insurrection,tt0120844,1998,http://www.imdb.com/title/tt0120844/,12/11/1998,USA,31,/star-trek-insurrection,Star Trek: Insurrection,12/11/1998,Jonathan Frakes,"Rick Berman, Michael Piller, Gene Roddenberry","Patrick Stewart,  Jonathan Frakes,  Brent Spiner",2
The Prince of Egypt,tt0120794,1998,http://www.imdb.com/title/tt0120794/,12/18/1998,USA,31,/the-prince-of-egypt,The Prince of Egypt,12/18/1998,"Simon Wells, Brenda Chapman, Steve Hickner","Philip LaZebnik, Nicholas Meyer","Val Kilmer,  Ralph Fiennes,  Michelle Pfeiffer",1
You've Got Mail,tt0128853,1998,http://www.imdb.com/title/tt0128853/,12/18/1998,USA,30,/youve-got-mail,You've Got Mail,12/18/1998,Nora Ephron,"Nora Ephron, Delia Ephron","Tom Hanks,  Meg Ryan,  Parker Posey",1
Patch Adams,tt0129290,1998,http://www.imdb.com/title/tt0129290/,12/25/1998,USA,5,/patch-adams,Patch Adams,12/25/1998,Tom Shadyac,"Steve Oedekerk, Patch Adams (book), Maureen Mylander (book)","Robin Williams,  Daniel London,  Philip Seymour Hoffman",1
Stepmom,tt0120686,1998,http://www.imdb.com/title/tt0120686/,12/25/1998,USA,1,/stepmom,Stepmom,12/25/1998,Chris Columbus,Writer:,"Julia Roberts,  Susan Sarandon,  Ed Harris",1
A Civil Action,tt0120633,1999,http://www.imdb.com/title/tt0120633/,1/8/1999,USA,17,/a-civil-action,A Civil Action,12/25/1998,Steven Zaillian,"Steven Zaillian, Jonathan Harr","John Travolta,  Robert Duvall,  Tony Shalhoub",1
Shakespeare in Love,tt0138097,1999,http://www.imdb.com/title/tt0138097/,1/8/1999,USA,31,/shakespeare-in-love,Shakespeare In Love,1/8/1999,John Madden,"Marc Norman, Tom Stoppard","Joseph Fiennes,  Gwyneth Paltrow,  Geoffrey Rush",2
The Thin Red Line,tt0120863,1999,http://www.imdb.com/title/tt0120863/,1/15/1999,USA,31,/the-thin-red-line,The Thin Red Line,12/25/1998,Terrence Malick,"Terrence Malick, James Jones","Sean Penn,  Adrien Brody,  Jim Caviezel",1
Varsity Blues,tt0139699,1999,http://www.imdb.com/title/tt0139699/,1/15/1999,USA,27,/varsity-blues,Varsity Blues,1/15/1999,Brian Robbins,W. Peter Iliff,"James Van Der Beek,  Jon Voight,  Paul Walker",1
Hilary and Jackie,tt0150915,1999,http://www.imdb.com/title/tt0150915/,2/5/1999,USA,31,/hilary-and-jackie,Hilary and Jackie,1/15/1999,Anand Tucker,Frank Cottrell Boyce,"Emily Watson,  Rachel Griffiths,  James Frain",1
Payback,tt0120784,1999,http://www.imdb.com/title/tt0120784/,2/5/1999,USA,3,/payback,Payback,2/5/1999,Brian Helgeland,"Brian Helgeland, Terry Hayes, Richard Stark","Mel Gibson,  Gregg Henry,  Maria Bello",2
Life Is Beautiful,tt0118799,1999,http://www.imdb.com/title/tt0118799/,2/12/1999,USA,31,/life-is-beautiful,Life is Beautiful,10/23/1998,Roberto Benigni,"Roberto Benigni, Vincenzo Cerami","Roberto Benigni,  Nicoletta Braschi,  Giorgio Cantarini",1
Message in a Bottle,tt0139462,1999,http://www.imdb.com/title/tt0139462/,2/12/1999,USA,31,/message-in-a-bottle,Message in a Bottle,2/12/1999,Luis Mandoki,"Nicholas Sparks, Gerald Di Pego","Kevin Costner,  Robin Wright,  Paul Newman",1
Affliction,tt0118564,1999,http://www.imdb.com/title/tt0118564/,2/19/1999,USA,1,/affliction,Affliction,1/15/1999,Paul Schrader,Paul Schrader,"Nick Nolte,  Sissy Spacek,  James Coburn",1
Elizabeth,tt0127536,1999,http://www.imdb.com/title/tt0127536/,2/19/1999,USA,4,/elizabeth,Elizabeth,11/6/1998,Shekhar Kapur,Michael Hirst,"Cate Blanchett,  Geoffrey Rush,  Christopher Eccleston",1
200 Cigarettes,tt0137338,1999,http://www.imdb.com/title/tt0137338/,2/26/1999,USA,5,/200-cigarettes,200 Cigarettes,2/26/1999,Risa Bramon Garcia,Shana Larsen,"Ben Affleck,  Casey Affleck,  Angela Featherstone",1
Cruel Intentions,tt0139134,1999,http://www.imdb.com/title/tt0139134/,3/5/1999,USA,7,/cruel-intentions,Cruel Intentions,3/5/1999,Roger Kumble,"Choderlos de Laclos, Roger Kumble","Sarah Michelle Gellar,  Ryan Phillippe,  Reese Witherspoon",1
Edtv,tt0131369,1999,http://www.imdb.com/title/tt0131369/,3/26/1999,USA,1,/edtv,Edtv,3/26/1999,Ron Howard,"Émile Gaudreault, Sylvie Bouchard","Matthew McConaughey,  Jenna Elfman,  Woody Harrelson",1
The Mod Squad,tt0120757,1999,http://www.imdb.com/title/tt0120757/,3/26/1999,USA,15,/the-mod-squad,The Mod Squad,3/26/1999,Scott Silver,"Stephen Kay, Scott Silver, Kate Lanier","Claire Danes,  Giovanni Ribisi,  Omar Epps",1
10 Things I Hate About You,tt0147800,1999,http://www.imdb.com/title/tt0147800/,3/31/1999,USA,31,/10-things-i-hate-about-you,10 Things I Hate About You,3/31/1999,Gil Junger,"Karen McCullah Lutz, Kirsten Smith","Heath Ledger,  Julia Stiles,  Joseph Gordon-Levitt",1
The Matrix,tt0133093,1999,http://www.imdb.com/title/tt0133093/,3/31/1999,USA,3,/the-matrix,The Matrix,3/31/1999,"Andy Wachowski, Larry Wachowski","Andy Wachowski, Larry Wachowski","Keanu Reeves,  Laurence Fishburne,  Carrie-Anne Moss",6
Go,tt0139239,1999,http://www.imdb.com/title/tt0139239/,4/9/1999,USA,31,/go,Go,4/9/1999,Doug Liman,John August,"Sarah Polley,  Katie Holmes,  Taye Diggs",3
Life,tt0123964,1999,http://www.imdb.com/title/tt0123964/,4/16/1999,USA,33,/life,Life,4/16/1999,Ted Demme,"Robert Ramsey, Matthew Stone","Eddie Murphy,  Martin Lawrence,  Obba Babatundé",1
A Walk on the Moon,tt0120613,1999,http://www.imdb.com/title/tt0120613/,4/23/1999,USA,31,/a-walk-on-the-moon,A Walk on the Moon,4/2/1999,Tony Goldwyn,Pamela Gray,"Diane Lane,  Viggo Mortensen,  Anna Paquin",1
Star Wars: Episode I - The Phantom Menace,tt0120915,1999,http://www.imdb.com/title/tt0120915/,5/19/1999,USA,30,/star-wars-i,Star Wars Episode I: The Phantom Menace,5/19/1999,George Lucas,George Lucas,"Liam Neeson,  Ewan McGregor,  Natalie Portman",68
Notting Hill,tt0125439,1999,http://www.imdb.com/title/tt0125439/,5/28/1999,USA,29,/notting-hill,Notting Hill,5/28/1999,Roger Michell,Richard Curtis,"Julia Roberts,  Hugh Grant,  Rhys Ifans",1
Austin Powers: The Spy Who Shagged Me,tt0145660,1999,http://www.imdb.com/title/tt0145660/,6/11/1999,USA,31,/austin-powers-2,Austin Powers: The Spy Who Shagged Me,6/11/1999,Jay Roach,"Mike Myers, Michael McCullers","Mike Myers,  Heather Graham,  Michael York",1
Run Lola Run,tt0130827,1999,http://www.imdb.com/title/tt0130827/,6/18/1999,USA,30,/run-lola-run,Run Lola Run (Lola rennt),6/18/1999,Tom Tykwer,Tom Tykwer,"Franka Potente,  Moritz Bleibtreu",2
The General's Daughter,tt0144214,1999,http://www.imdb.com/title/tt0144214/,6/18/1999,USA,30,/the-generals-daughter,The General's Daughter,6/18/1999,Simon West,"Christopher Bertolini, William Goldman, Nelson DeMille","John Travolta,  Madeleine Stowe,  James Cromwell",1
Big Daddy,tt0142342,1999,http://www.imdb.com/title/tt0142342/,6/25/1999,USA,31,/big-daddy,Big Daddy,6/25/1999,Dennis Dugan,Steve Franks,"Adam Sandler,  Joey Lauren Adams,  Jon Stewart",1
Wild Wild West,tt0120891,1999,http://www.imdb.com/title/tt0120891/,6/30/1999,USA,31,/wild-wild-west,Wild Wild West,6/30/1999,Barry Sonnenfeld,"Jim Thomas, John Thomas, S.S. Wilson, Brent Maddock, Jeffrey Price, Peter S. Seaman","Will Smith,  Kevin Kline,  Kenneth Branagh",2
Summer of Sam,tt0162677,1999,http://www.imdb.com/title/tt0162677/,7/2/1999,USA,31,/summer-of-sam,Summer of Sam,7/2/1999,Spike Lee,"Spike Lee, Victor Colicchio, Michael Imperioli","John Leguizamo,  Adrien Brody,  Mira Sorvino",1
Arlington Road,tt0137363,1999,http://www.imdb.com/title/tt0137363/,7/9/1999,USA,31,/arlington-road,Arlington Road,7/9/1999,Mark Pellington,Ehren Kruger,"Jeff Bridges,  Tim Robbins,  Joan Cusack",1
Eyes Wide Shut,tt0120663,1999,http://www.imdb.com/title/tt0120663/,7/16/1999,USA,31,/eyes-wide-shut,Eyes Wide Shut,7/16/1999,Stanley Kubrick,"Stanley Kubrick, Frederic Raphael, Arthur Schnitzler","Tom Cruise,  Nicole Kidman,  Sydney Pollack",5
The Blair Witch Project,tt0185937,1999,http://www.imdb.com/title/tt0185937/,7/30/1999,USA,31,/blair-witch-project,The Blair Witch Project,7/30/1999,"Daniel Myrick, Eduardo Sanchez","Daniel Myrick, Eduardo Sanchez","Heather Donahue,  Joshua Leonard,  Michael C. Williams",2
The Iron Giant,tt0129167,1999,http://www.imdb.com/title/tt0129167/,8/6/1999,USA,31,/the-iron-giant,The Iron Giant,8/6/1999,Brad Bird,Tim McCanlies,"Eli Marienthal,  Christopher McDonald,  Jennifer Aniston",1
The Sixth Sense,tt0167404,1999,http://www.imdb.com/title/tt0167404/,8/6/1999,USA,8,/the-sixth-sense,The Sixth Sense,8/6/1999,M. Night Shyamalan,M. Night Shyamalan,"Bruce Willis,  Haley Joel Osment,  Toni Collette",1
Bowfinger,tt0131325,1999,http://www.imdb.com/title/tt0131325/,8/13/1999,USA,1,/bowfinger,Bowfinger,8/13/1999,Frank Oz,Steve Martin,"Steve Martin,  Eddie Murphy,  Heather Graham",1
Dudley Do-Right,tt0160236,1999,http://www.imdb.com/title/tt0160236/,8/27/1999,USA,30,/dudley-do-right,Dudley Do-Right,8/27/1999,Hugh Wilson,Hugh Wilson,"Brendan Fraser,  Sarah Jessica Parker,  Alfred Molina",1
The 13th Warrior,tt0120657,1999,http://www.imdb.com/title/tt0120657/,8/27/1999,USA,31,/the-13th-warrior,The 13th Warrior,8/27/1999,John McTiernan,"John McTiernan, William Wisher Jr., Warren Lewis, Michael Crichton (novel)","Antonio Banderas,  Diane Venora,  Dennis Storhoi",1
The Astronaut's Wife,tt0138304,1999,http://www.imdb.com/title/tt0138304/,8/27/1999,USA,30,/the-astronauts-wife,The Astronaut's Wife,8/27/1999,Rand Ravich,Rand Ravich,"Johnny Depp,  Charlize Theron,  Joe Morton",1
Love Stinks,tt0188863,1999,http://www.imdb.com/title/tt0188863/,9/10/1999,USA,31,/love-stinks,Love Stinks,9/10/1999,Jeff Franklin,Jeff Franklin,"French Stewart,  Bridgette Wilson Sampras,  Tyra Banks",1
Stigmata,tt0145531,1999,http://www.imdb.com/title/tt0145531/,9/10/1999,USA,2,/stigmata,Stigmata,9/10/1999,Rupert Wainwright,Tom Lazarus,"Patricia Arquette,  Gabriel Byrne,  Jonathan Pryce",1
Blue Streak,tt0181316,1999,http://www.imdb.com/title/tt0181316/,9/17/1999,USA,31,/blue-streak,Blue Streak,9/17/1999,Les Mayfield,"Michael Berry, John Blumenthal, Stephen Carpenter","Martin Lawrence,  Luke Wilson,  Peter Greene",1
Double Jeopardy,tt0150377,1999,http://www.imdb.com/title/tt0150377/,9/24/1999,USA,20,/double-jeopardy,Double Jeopardy,9/24/1999,Bruce Beresford,"David Weisberg, Douglas Cook","Ashley Judd,  Tommy Lee Jones,  Bruce Greenwood",1
Mumford,tt0140397,1999,http://www.imdb.com/title/tt0140397/,9/24/1999,USA,1,/mumford,Mumford,9/24/1999,Lawrence Kasdan,Lawrence Kasdan,"Loren Dean,  Hope Davis,  Jason Lee",1
American Beauty,tt0169547,1999,http://www.imdb.com/title/tt0169547/,10/1/1999,USA,31,/american-beauty,American Beauty,9/15/1999,Sam Mendes,Alan Ball,"Kevin Spacey,  Annette Bening,  Thora Birch",1
Three Kings,tt0120188,1999,http://www.imdb.com/title/tt0120188/,10/1/1999,USA,31,/three-kings,Three Kings,10/1/1999,David O. Russell,"John Ridley, David O. Russell","George Clooney,  Mark Wahlberg,  Ice Cube",1
Superstar,tt0167427,1999,http://www.imdb.com/title/tt0167427/,10/8/1999,USA,2,/superstar-1999,Superstar,10/8/1999,Bruce McCulloch,"Molly Shannon, Steve Koren","Molly Shannon,  Will Ferrell,  Harland Williams",1
Fight Club,tt0137523,1999,http://www.imdb.com/title/tt0137523/,10/15/1999,USA,31,/fight-club,Fight Club,10/15/1999,David Fincher,"Chuck Palahniuk, Jim Uhls","Edward Norton,  Brad Pitt,  Helena Bonham Carter",2
Bringing Out the Dead,tt0163988,1999,http://www.imdb.com/title/tt0163988/,10/22/1999,USA,31,/bringing-out-the-dead,Bringing Out the Dead,10/22/1999,Martin Scorsese,"Joe Connelly, Paul Schrader","Nicolas Cage,  John Goodman,  Ving Rhames",1
Crazy in Alabama,tt0142201,1999,http://www.imdb.com/title/tt0142201/,10/22/1999,USA,31,/crazy-in-alabama,Crazy in Alabama,10/22/1999,Antonio Banderas,Mark Childress,"Melanie Griffith,  David Morse,  Lucas Black",1
The Best Man,tt0168501,1999,http://www.imdb.com/title/tt0168501/,10/22/1999,USA,31,/the-best-man,The Best Man,10/22/1999,Malcolm D. Lee,Malcolm D. Lee,"Taye Diggs,  Nia Long,  Morris Chestnut",1
The Insider,tt0140352,1999,http://www.imdb.com/title/tt0140352/,11/5/1999,USA,1,/insider,The Insider,11/5/1999,Michael Mann,"Marie Brenner, Eric Roth, Michael Mann","Al Pacino,  Russell Crowe,  Christopher Plummer",1
The Messenger: The Story of Joan of Arc,tt0151137,1999,http://www.imdb.com/title/tt0151137/,11/12/1999,USA,31,/messenger-story-of-joan-of-arc,The Messenger: The Story of Joan of Arc,10/18/1999,Luc Besson,"Luc Besson, Andrew Birkin","Milla Jovovich,  Dustin Hoffman,  Faye Dunaway",2
Sleepy Hollow,tt0162661,1999,http://www.imdb.com/title/tt0162661/,11/19/1999,USA,12,/sleepy-hollow,Sleepy Hollow,11/19/1999,Tim Burton,Andrew Kevin Walker,"Johnny Depp,  Christina Ricci,  Casper Van Dien",1
The World Is Not Enough,tt0143145,1999,http://www.imdb.com/title/tt0143145/,11/19/1999,USA,31,/the-world-is-not-enough,The World is Not Enough,11/19/1999,Michael Apted,"Neal Purvis, Robert Wade","Pierce Brosnan,  Sophie Marceau,  Robert Carlyle",2
Toy Story 2,tt0120363,1999,http://www.imdb.com/title/tt0120363/,11/24/1999,USA,31,/toy-story-2,Toy Story 2,11/24/1999,John Lasseter,"John Lasseter, Pete Docter, Ash Brannon, Andrew Stanton","Tom Hanks,  Joan Cusack,  Tim Allen",3
Being John Malkovich,tt0120601,1999,http://www.imdb.com/title/tt0120601/,12/3/1999,USA,31,/being-john-malkovich,Being John Malkovich,10/29/1999,Spike Jonze,Charlie Kaufman,"John Cusack,  Cameron Diaz,  Catherine Keener",1
The Green Mile,tt0120689,1999,http://www.imdb.com/title/tt0120689/,12/10/1999,USA,31,/the-green-mile,The Green Mile,12/10/1999,Frank Darabont,Frank Darabont,"Tom Hanks,  Michael Clarke Duncan,  David Morse",4
Any Given Sunday,tt0146838,1999,http://www.imdb.com/title/tt0146838/,12/22/1999,USA,27,/any-given-sunday,Any Given Sunday,12/22/1999,Oliver Stone,"Oliver Stone, Daniel Pyne, John Logan","Al Pacino,  Cameron Diaz,  Dennis Quaid",2
Galaxy Quest,tt0177789,1999,http://www.imdb.com/title/tt0177789/,12/25/1999,USA,10,/galaxy-quest,Galaxy Quest,12/25/1999,Dean Parisot,"David Howard, Robert Gordon","Tim Allen,  Alan Rickman,  Sigourney Weaver",1
Mansfield Park,tt0178737,1999,http://www.imdb.com/title/tt0178737/,12/25/1999,USA,31,/mansfield-park,Mansfield Park,8/27/1999,Patricia Rozema,"Jane Austen, Patricia Rozema","Frances O'Connor,  Jonny Lee Miller,  Alessandro Nivola",1
Magnolia,tt0175880,2000,http://www.imdb.com/title/tt0175880/,1/7/2000,USA,1,/magnolia,Magnolia,1/7/2000,Paul Thomas Anderson,Paul Thomas Anderson,"Jeremy Blackman,  Michael Bowen,  Tom Cruise",11
The Cider House Rules,tt0124315,2000,http://www.imdb.com/title/tt0124315/,1/7/2000,USA,31,/the-cider-house-rules,The Cider House Rules,12/17/1999,Lasse Hallström,John Irving,"Tobey Maguire,  Michael Caine,  Charlize Theron",1
Angela's Ashes,tt0145653,2000,http://www.imdb.com/title/tt0145653/,1/21/2000,USA,25,/angelas-ashes,Angela's Ashes,12/25/1999,Alan Parker,"Laura Jones, Frank McCourt","Emily Watson,  Robert Carlyle,  Joe Breen",1
Cradle Will Rock,tt0150216,2000,http://www.imdb.com/title/tt0150216/,1/21/2000,USA,31,/cradle-will-rock,Cradle Will Rock,1/21/2000,Tim Robbins,Tim Robbins,"Hank Azaria,  Rubén Blades,  Joan Cusack",1
Isn't She Great,tt0141399,2000,http://www.imdb.com/title/tt0141399/,1/28/2000,USA,30,/isnt-she-great,Isn't She Great,1/28/2000,Andrew Bergman,"Michael Korda, Paul Rudnick","Bette Midler,  Nathan Lane,  Stockard Channing",1
The Beach,tt0163978,2000,http://www.imdb.com/title/tt0163978/,2/11/2000,USA,20,/the-beach,The Beach,2/11/2000,Danny Boyle,Andrew Macdonald,"Leonardo DiCaprio,  Tilda Swinton,  Virginie Ledoyen",1
Reindeer Games,tt0184858,2000,http://www.imdb.com/title/tt0184858/,2/25/2000,USA,28,/reindeer-games,Reindeer Games,2/25/2000,Dennison Ramalho,Jeff Buhler,"Ben Affleck,  Gary Sinise,  Charlize Theron",1
Drowning Mona,tt0186045,2000,http://www.imdb.com/title/tt0186045/,3/3/2000,USA,8,/drowning-mona,Drowning Mona,3/3/2000,Nick Gomez,Peter Steinfeld,"Danny DeVito,  Bette Midler,  Neve Campbell",1
Mission to Mars,tt0183523,2000,http://www.imdb.com/title/tt0183523/,3/10/2000,USA,31,/mission-to-mars,Mission to Mars,3/10/2000,Brian De Palma,"Lowell Cannon, Jim Thomas, John Thomas","Gary Sinise,  Tim Robbins,  Don Cheadle",1
The Ninth Gate,tt0142688,2000,http://www.imdb.com/title/tt0142688/,3/10/2000,USA,14,/the-ninth-gate,The Ninth Gate,3/10/2000,Roman Polanski,"Roman Polanski, Arturo Pérez-Reverte, John Brownjohn","Johnny Depp,  Lena Olin,  Frank Langella",1
