imdb_id,id,title,original_title,budget,revenue,genres,imdb_id,original_language,overview,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,popularity,vote_average,vote_count,production_companies_number,production_countries_number,spoken_languages_number
tt1160368,17134,12 Rounds,12 Rounds,20000000,17280326,Action|Thriller|Crime,tt1160368,en,"When New Orleans Police Detective Danny Fisher stops a brilliant thief from getting away with a multimillion-dollar heist, the thief's girlfriend is accidentally killed. After escaping from prison, the criminal mastermind enacts his revenge, taunting Danny with 12 rounds of near-impossible puzzles and tasks that he must somehow complete to save the life of the woman he loves.",The Mark Gordon Company|Midnight Sun Pictures,United States of America,2009-03-19,108.0,Czech|English|Thai,Released,Can you survive 12 rounds for the one you love?,21.572,5.8,495,2,1,3
tt1413492,429351,12 Strong,12 Strong,35000000,67450815,War|Drama|Action|History,tt1413492,en,A team of CIA agents and special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,Torridon Films|Alcon Entertainment|Black Label Media|Jerry Bruckheimer Films|Lionsgate|16:14 Entertainment,United States of America,2018-01-16,130.0,English,Released,The declassified true story of the horse soldiers,28.803,6.1,1990,6,1,1
tt2024544,76203,12 Years a Slave,12 Years a Slave,20000000,187000000,Drama|History,tt2024544,en,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",New Regency Pictures|Plan B Entertainment|River Road Entertainment|Regency Enterprises|Film4 Productions,United States of America|United Kingdom,2013-10-18,134.0,English,Released,The extraordinary true story of Solomon Northup,22.187,8.0,8553,5,2,1
tt1542344,44115,127 Hours,127 Hours,18000000,35692920,Adventure|Drama|Thriller,tt1542344,en,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,Fox Searchlight Pictures|Pathé!|Everest Entertainment|HandMade Films|Warner Bros. Pictures|Film4 Productions|Cloud Eight Films,United Kingdom|United States of America,2010-11-05,94.0,English,Released,There is no force more powerful than the will to live.,30.914,7.0,5633,7,2,1
tt0337563,10096,13 Going on 30,13 Going on 30,37000000,96455697,Comedy|Fantasy|Romance,tt0337563,en,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. With a little magic, her wish is granted, but it turns out that being thirty isn't as always as awesome as she thought it would be!",Columbia Pictures|Revolution Studios|Thirteen Productions,United States of America,2004-04-13,98.0,English|Spanish|French|Portuguese,Released,"For some, 13 feels like it was just yesterday. For Jenna, it was.",22.188,6.7,3690,3,1,4
tt0179626,2749,15 Minutes,15 Minutes,60000000,56359980,Action|Crime|Thriller,tt0179626,en,"When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show ""Top Story.""",New Line Cinema|Industry Entertainment|Tribeca Productions|New Redemption Pictures,Germany|United States of America,2001-03-01,120.0,Czech|Greek|English|Russian,Released,America Likes to Watch,14.384,5.8,444,4,2,4
tt0450232,2207,16 Blocks,16 Blocks,55000000,65664721,Action|Adventure|Crime|Thriller,tt0450232,en,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.",Alcon Entertainment|EFO Films|Cheyenne Enterprises|Equity Pictures Medienfonds GmbH & Co. KG III|16 Block Productions|The Donners' Company|Millennium Films|Nu Image|ContentFilm,United States of America|Germany,2006-03-01,105.0,English,Released,"For a New York cop and his witness, the distance between life and death just got very short.",84.792,6.4,1339,9,2,1
tt0974661,16996,17 Again,17 Again,20000000,136267476,Comedy,tt0974661,en,"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.",New Line Cinema,United States of America,2009-03-11,102.0,English,Released,Who says you're only young once?,31.738,6.2,3842,1,1,1
tt0841044,1845,2 Days in Paris,2 Days in Paris,0,19776159,Comedy|Romance,tt0841044,en,"Adam Goldberg delivers ""an uproarious study in transatlantic culture panic"" as Jack, an anxious, hypochondriac-prone New Yorker vacationing throughout Europe with his breezy, free-spirited Parisian girlfriend, Marion. But when they make a two-day stop in Marion's hometown, the couple's romantic trip takes a turn as Jack is exposed to Marion's sexually perverse and emotionally unstable family.",3L Filmproduktion GmbH|Polaris Film Productions|Tempête Sous Un Crâne Productions|Focus Features,France|Germany,2007-02-09,96.0,English|French|German,Released,"He knew Paris was for lovers, he just didn't think they were all hers.",8.166,6.3,264,4,2,3
tt0115438,9401,2 Days in the Valley,2 Days in the Valley,0,0,Comedy|Crime|Thriller,tt0115438,en,"In a sleepy bedroom community of LA's San Fernando Valley, the murder of a professional athlete by two hit men sets into motion a chain of events that puts the mundane lives of a dozen residents on a collision course. This clever tale tells the story of two hit men, a mistress, a nurse, a vindictive ex-wife, a wealthy art dealer and his lovelorn assistant, a suicidal writer and his dog, and a bitter cop and his partner.",Redemption Productions|Rysher Entertainment,United States of America,1996-09-11,104.0,English|Vietnamese,Released,You have one minute to decide the rest of your life.,11.937,6.3,143,2,1,2
