tmdb_id,imdb_id,title,year,
2924,tt0101393,Backdraft,1991,
9737,tt0112442,Bad Boys,1995,
38700,tt1502397,Bad Boys for Life,2020,
8961,tt0172156,Bad Boys II,2003,
3132,tt0280486,Bad Company,2002,
40480,tt0112443,Bad Company,1995,
11853,tt0109198,Bad Girls,1994,
24249,tt0099091,Bad Influence,1990,
49763,tt0115610,Bad Moon,1996,
13341,tt0408524,Bad News Bears,2005,
10147,tt0307987,Bad Santa,2003,
52449,tt1284575,Bad Teacher,2011,
446021,tt6628394,Bad Times at the El Royale,2018,
209403,tt2170299,Bad Words,2014,
175528,tt1171222,Baggage Claim,2013,
14805,tt0211938,Bait,2000,
10550,tt0308208,Ballistic: Ecks vs. Sever,2002,
9750,tt0424823,Balls of Fury,2007,
21032,tt0112453,Balto,1995,
24664,tt0215545,Bamboozled,2000,
277722,tt0297012,Bandido,2004,
3172,tt0219965,Bandits,2001,
23367,tt0976222,Bandslam,2009,
13184,tt0814022,Bangkok Dangerous,2008,
11867,tt0115624,Barb Wire,1996,
10611,tt0303714,Barbershop,2002,
21301,tt0337579,Barbershop 2: Back in Business,2004,
16771,tt0109219,Barcelona,1994,
17644,tt0120598,Barney's Great Adventure,1998,
46829,tt1423894,Barney's Version,2011,
9907,tt0414853,Barnyard,2006,
290,tt0101410,Barton Fink,1991,
14013,tt0131857,BASEketball,1998,
10782,tt0264395,Basic,2003,
402,tt0103772,Basic Instinct,1992,
3093,tt0430912,Basic Instinct 2,2006,
549,tt0115632,Basquiat,1996,
415,tt0118688,Batman & Robin,1997,
272,tt0372784,Batman Begins,2005,
414,tt0112462,Batman Forever,1995,
364,tt0103776,Batman Returns,1992,
14919,tt0106364,Batman: Mask of the Phantasm,1993,
10496,tt0200469,Bats,1999,
16873,tt0858486,Battle for Terra,2009,
567629,tt9018916,Battle of Jangsari,2019,
109417,tt1532958,Battle of the Year,2013,
44943,tt1217613,Battle: Los Angeles,2011,
5491,tt0185183,Battlefield Earth,2000,
44833,tt1440129,Battleship,2012,
4551,tt0377471,Be Cool,2005,
4953,tt0799934,Be Kind Rewind,2008,
1281,tt0118689,Bean,1997,
38117,tt1152398,Beastly,2011,
34299,tt0210567,Beautiful,2000,
109491,tt1559547,Beautiful Creatures,2013,
9283,tt0115639,Beautiful Girls,1996,
10938,tt0115640,Beautiful Thing,1996,
536768,tt5645932,Beautifully Broken,2018,
10020,tt0101414,Beauty and the Beast,1991,
14177,tt0388500,Beauty Shop,2005,
3179,tt0115641,Beavis and Butt-Head Do America,1996,
1257,tt0490084,Because I Said So,2007,
17880,tt0317132,Because of Winn-Dixie,2005,
2977,tt0416508,Becoming Jane,2007,
20927,tt0115644,Bed of Roses,1996,
1636,tt0230030,Bedazzled,2000,
10202,tt0960731,Bedtime Stories,2008,
5559,tt0389790,Bee Movie,2007,
24618,tt0387059,Bee Season,2005,
9988,tt0486551,Beerfest,2006,
11806,tt0103786,Beethoven,1992,
10438,tt0106375,Beethoven's 2nd,1993,
43566,tt0115645,Before and After,1996,
204922,tt1726592,Before I Go to Sleep,2014,
132344,tt2209418,Before Midnight,2013,
5001,tt0247196,Before Night Falls,2001,
76,tt0112471,Before Sunrise,1995,
80,tt0381681,Before Sunset,2004,
7972,tt0292963,Before the Devil Knows You're Dead,2007,
26506,tt0870195,Before the Rains,2008,
198277,tt1980929,Begin Again,2014,
8007,tt0159273,Behind Enemy Lines,2001,
46924,tt0106379,Being Human,1994,
492,tt0120601,Being John Malkovich,1999,
18701,tt0340012,Being Julia,2005,
399248,tt4669264,Beirut,2018,
12586,tt0482463,Bella,2007,
12888,tt0158493,Belly,1998,
39437,tt0120603,Beloved,1998,
455,tt0286499,Bend It Like Beckham,2003,
44415,tt0315273,Benji: Off the Leash!,2004,
603055,tt7370952,Bennett's War,2019,
4104,tt0106387,Benny & Joon,1993,
2310,tt0442933,Beowulf,2007,
44297,tt0149723,Besieged,1999,
13785,tt0218839,Best in Show,2000,
32049,tt0106393,Best of the Best 2,1993,
18913,tt0099128,Betsy's Wedding,1990,
14290,tt0280477,Better Luck Tomorrow,2003,
14405,tt1014775,Beverly Hills Chihuahua,2008,
306,tt0109254,Beverly Hills Cop III,1994,
9622,tt0118708,Beverly Hills Ninja,1997,
9722,tt0374536,Bewitched,2005,
9839,tt0294357,Beyond Borders,2003,
1873,tt0112495,Beyond Rangoon,1995,
241771,tt3125324,Beyond the Lights,2014,
318954,tt2433040,Beyond the Mask,2015,
6478,tt0363473,Beyond the Sea,2004,
2277,tt0182789,Bicentennial Man,1999,
504056,tt7336572,Big Brother,2018,
36929,tt0115676,Big Bully,1996,
9032,tt0142342,Big Daddy,1999,
87093,tt1126590,Big Eyes,2014,
11870,tt0265298,Big Fat Liar,2002,
587,tt0319061,Big Fish,2004,
177572,tt2245084,Big Hero 6,2014,
78698,tt1430615,Big Miracle,2012,
9600,tt0208003,Big Momma's House,2000,
11565,tt0421729,Big Momma's House 2,2006,
38322,tt1464174,"Big Mommas: Like Father, Like Son",2011,
18203,tt0115678,Big Night,1996,
2185,tt0246464,Big Trouble,2002,
12253,tt0326769,Biker Boyz,2003,
1649,tt0101452,Bill & Ted's Bogus Journey,1991,
12647,tt0101453,Billy Bathgate,1991,
71,tt0249462,Billy Elliot,2000,
11017,tt0112508,Billy Madison,1995,
17539,tt0137386,Billy's Hollywood Screen Kiss,1998,
16790,tt0101455,Bingo,1991,
9536,tt0115683,Bio-Dome,1996,
1727,tt0099141,Bird on a Wire,1990,
194662,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,
438146,tt6386748,Birds of Passage,2019,
495764,tt7713068,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,
10740,tt0337876,Birth,2004,
2084,tt0188453,Birthday Girl,2002,
10497,tt0104779,Bitter Moon,1994,
438145,tt3208026,Black '47,2018,
578189,tt7390646,Black and Blue,2019,
38809,tt0165643,Black and White,2000,
14522,tt0109279,Black Beauty,1994,
9075,tt0389557,Black Book,2007,
9656,tt0454082,Black Christmas,2006,
551808,tt10481868,Black Christmas,2019,
18316,tt0120610,Black Dog,1998,
855,tt0265086,Black Hawk Down,2002,
11469,tt0265087,Black Knight,2001,
9460,tt0115693,Black Mask,1999,
175541,tt1425922,Black Nativity,2013,
253331,tt2883434,Black or White,2015,
284054,tt1825683,Black Panther,2018,
41784,tt0101465,Black Robe,1991,
246080,tt2261331,Black Sea,2015,
13997,tt0115697,Black Sheep,1996,
7874,tt0462200,Black Snake Moan,2007,
44214,tt0947798,Black Swan,2010,
201088,tt2717822,Blackhat,2015,
487558,tt7349662,BlacKkKlansman,2018,
36647,tt0120611,Blade,1998,
36586,tt0187738,Blade II,2002,
36648,tt0359013,Blade: Trinity,2004,
9955,tt0445934,Blades of Glory,2007,
34151,tt0103827,Blame It on the Bellboy,1992,
13962,tt0109287,Blank Check,1994,
20678,tt0109288,Blankman,1994,
11622,tt0124298,Blast from the Past,1999,
232672,tt1086772,Blended,2014,
10391,tt0163983,Bless the Child,2000,
534259,tt8266310,Blinded by the Light,2019,
8338,tt0861689,Blindness,2008,
579140,tt0169624,Blindness,1998,
489930,tt7242142,Blindspotting,2018,
26203,tt0109297,Blink,1994,
437557,tt2531344,Blockers,2018,
10075,tt0397044,Blood and Chocolate,2007,
31640,tt0115710,Blood and Wine,1997,
1372,tt0450259,Blood Diamond,2006,
9573,tt0309377,Blood Work,2002,
76551,tt0099155,Bloodfist II,1990,
168705,tt0383222,BloodRayne,2006,
338762,tt1634106,Bloodshot,2020,
4133,tt0221027,Blow,2001,
178,tt0109303,Blown Away,1994,
94794,tt0106438,Blue,1993,
19819,tt0109305,Blue Chips,1994,
9266,tt0300532,Blue Crush,2002,
5894,tt0112541,Blue in the Face,1995,
160588,tt2334873,Blue Jasmine,2013,
57834,tt0109306,Blue Sky,1994,
11001,tt0181316,Blue Streak,1999,
46705,tt1120985,Blue Valentine,2011,
11568,tt0118747,Blues Brothers 2000,1998,
9557,tt0285462,Boat Trip,2003,
10608,tt0103850,Bob Roberts,1992,
10741,tt0308055,Bobby,2006,
24747,tt0375104,Bobby Jones: Stroke of Genius,2004,
90044,tt0099164,Body Chemistry,1990,
2149,tt0106453,Body of Evidence,1993,
12113,tt0758774,Body of Lies,2008,
32146,tt0101492,Body Parts,1991,
3587,tt0115725,Bogus,1996,
424694,tt1727824,Bohemian Rhapsody,2018,
14181,tt0181984,Boiler Room,2000,
22213,tt0106455,Boiling Point,1993,
13053,tt0397892,Bolt,2008,
525661,tt6394270,Bombshell,2019,
14652,tt0310778,Bon Voyage,2004,
11380,tt0166110,Bones,2001,
8968,tt0357507,Boogeyman,2005,
4995,tt0118749,Boogie Nights,1997,
502682,tt6857166,Book Club,2018,
52560,tt0099166,Book of Love,1991,
11531,tt0229260,Book of Shadows: Blair Witch 2,2000,
505600,tt1489887,Booksmart,2019,
11066,tt0103859,Boomerang,1992,
21915,tt0118750,Booty Call,1997,
496,tt0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,
9431,tt0117826,Bordello of Blood,1996,
517839,tt5501104,Border,2018,
68927,tt0113533,Born to Be Wild,1995,
44968,tt0106466,Born Yesterday,1993,
19600,tt0180837,Bossa Nova,2000,
13996,tt0914797,Bottle Shock,2008,
10862,tt0186894,Bounce,2000,
9303,tt0115736,Bound,1996,
9702,tt0106469,Bound by Honor,1993,
11353,tt0131325,Bowfinger,1999,
18215,tt0106471,Boxing Helena,1993,
85350,tt1065073,Boyhood,2014,
55831,tt0439478,Boynton Beach Club,2006,
10571,tt0204175,Boys and Girls,2000,
226,tt0171804,Boys Don't Cry,2000,
9382,tt0112571,Boys on the Side,1995,
650,tt0101507,Boyz n the Hood,1991,
18480,tt0889583,Brüno,2009,
555974,tt9173418,Brahms: The Boy II,2020,
5898,tt0099173,Brain Dead,1990,
14237,tt0109327,Brainscan,1994,
6114,tt0103874,Bram Stoker's Dracula,1992,
9450,tt0115744,Brassed Off,1997,
14123,tt0804452,Bratz,2007,
62177,tt1217209,Brave,2012,
197,tt0112573,Braveheart,1995,
4169,tt0401997,Breach,2007,
2163,tt0118771,Breakdown,1997,
16428,tt0349169,Breakin' All the Rules,2004,
497814,tt7137846,Breaking In,2018,
145,tt0115751,Breaking the Waves,1996,
514439,tt7083526,Breakthrough,2019,
535845,tt3920820,Brian Banks,2019,
9270,tt0393109,Brick,2006,
21074,tt0940585,Brick Lane,2008,
254473,tt1430612,Brick Mansions,2014,
57825,tt0361411,Bride & Prejudice,2005,
11932,tt0144120,Bride of Chucky,1998,
10521,tt0901476,Bride Wars,2009,
12568,tt0412536,Brideshead Revisited,2008,
55721,tt1478338,Bridesmaids,2011,
1265,tt0398808,Bridge to Terabithia,2007,
9801,tt0317198,Bridget Jones: The Edge of Reason,2004,
634,tt0243155,Bridget Jones's Diary,2001,
29963,tt0810784,Bright Star,2009,
531309,tt7752126,Brightburn,2019,
1588,tt0204946,Bring It On,2000,
10678,tt0305669,Bringing Down the House,2003,
8649,tt0163988,Bringing Out the Dead,1999,
142,tt0388795,Brokeback Mountain,2006,
17707,tt0120620,Brokedown Palace,1999,
9208,tt0115759,Broken Arrow,1996,
98357,tt1235522,Broken City,2013,
8088,tt0913425,Broken Embraces,2010,
308,tt0412019,Broken Flowers,2005,
26390,tt1210042,Brooklyn's Finest,2010,
10009,tt0328880,Brother Bear,2003,
7445,tt0765010,Brothers,2009,
37964,tt0297037,Brown Sugar,2002,
310,tt0315327,Bruce Almighty,2003,
9683,tt0258470,Bubble Boy,2001,
67911,tt1411664,Bucky Larson: Born to Be a Star,2011,
15170,tt0118787,Buddy,1997,
9464,tt0118789,Buffalo '66,1998,
10206,tt0103893,Buffy the Vampire Slayer,1992,
12526,tt0470705,Bug,2007,
10337,tt0101516,Bugsy,1991,
70074,tt1308729,Bullet to the Head,2013,
10723,tt0115783,Bulletproof,1996,
11817,tt0245803,Bulletproof Monk,2003,
11382,tt0109348,Bullets Over Broadway,1995,
9452,tt0118798,Bulworth,1998,
424783,tt4701182,Bumblebee,2018,
26388,tt1462758,Buried,2010,
42297,tt1126591,Burlesque,2010,
4944,tt0887883,Burn After Reading,2008,
26258,tt0112602,Bushwhacked,1995,
20770,tt0179116,But I'm a Cheerleader,2000,
30528,tt0112606,Bye Bye Love,1995,
26391,tt0109361,Cabin Boy,1994,
